variable,note
GDP,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
CP,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
IHP,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
IFP,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
INP,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
CG,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
IG,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
ING,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
BF,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
XGS,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
MGS,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
KAISA,ESRI 2015年基準QE（2021年10-12月期2次QE（2022年3月公表）+ 2020年度年次推計（2021年12月公表））実質季調年率
GDPV,ESRI 2015年基準QE 名目季調年率
CPV,ESRI 2015年基準QE 名目季調年率
IHPV,ESRI 2015年基準QE 名目季調年率
IFPV,ESRI 2015年基準QE 名目季調年率
INPV,ESRI 2015年基準QE 名目季調年率
CGV,ESRI 2015年基準QE 名目季調年率
IGV,ESRI 2015年基準QE 名目季調年率
INGV,ESRI 2015年基準QE 名目季調年率
BFV,ESRI 2015年基準QE 名目季調年率
XGSV,ESRI 2015年基準QE 名目季調年率
MGSV,ESRI 2015年基準QE 名目季調年率
RTRIV,ESRI 2015年基準QE 名目季調年率
PTRIV,ESRI 2015年基準QE 名目季調年率
YWV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
YWIV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
YOLIV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
YIGV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
YIEV,SNA 家計財産所得（純）から賃貸料を除いたもの（式104の金利反応と整合、法人企業所得の水準が論文と一致）
YICV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
NIV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
CCAVG,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
TCIV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
TCSTV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
SUBV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
CSSV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
TYPV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
YDV,2020年度年次推計 四半期原系列を移動平均比率法で季調し×4
