year,KHPV,KFPV,KGV,KNPV,LANDT,SHARETV,SHARETV_ASSET,FASSTV,FLIABV,SBCV,LANDV_HH,SHAREV_HH,GOVGFCF_FY
1994,377012.4,716477.6999999998,540449.2,72889.40000000001,2037521.7000000002,512195.7,477192.4,260209.7,181188.40000000002,79021.3,1152544.0,131032.0,31997.899999999998
1995,377855.7,723176.8999999999,559794.2,68444.6,1955636.4000000001,513833.10000000003,470645.80000000005,285334.0,200426.80000000002,84907.20000000001,1102962.0,128855.5,33829.5
1996,403202.4,751168.6999999998,594775.0,69681.8,1924404.4000000001,498811.80000000005,453013.4,318185.5,213930.5,104255.0,1085517.3,118755.8,33131.8
1997,399720.3,760203.7,604109.8,70228.5,1888881.2000000002,389336.0,349172.10000000003,366849.7,241498.1,125351.6,1077073.0,86462.3,31096.0
1998,393272.7,755608.0000000002,610179.5,70841.90000000001,1821876.9000000001,371091.4,333305.0,353259.60000000003,219320.90000000002,133938.7,1050260.7,80110.8,31944.6
1999,393075.5,749256.2,616726.3,66457.40000000001,1749701.3,638759.7000000001,538007.1,322958.4,237624.40000000002,85334.0,1022347.1000000001,138234.0,31321.0
2000,396098.6,758629.0000000001,641221.3,65261.3,1671356.6,510408.7,434960.4,354988.80000000005,221941.80000000002,133047.0,971846.7000000001,118135.8,29076.199999999997
2001,395415.5,753739.0,649034.2,64015.4,1581206.4000000001,408876.2,350909.0,388429.4,209172.40000000002,179257.0,916667.2000000001,89267.90000000001,27392.4
2002,393799.2,746221.0,653512.7,61670.5,1500217.5,367453.30000000005,318826.4,378538.30000000005,203230.30000000002,175308.0,862241.3,82753.1,26010.1
2003,397284.9,740149.6,654504.0,61762.200000000004,1427336.0,503478.80000000005,430957.9,395045.7,222227.7,172818.0,813600.5,104930.70000000001,23341.8
2004,402493.1,740301.2999999999,656137.4,63386.9,1369758.5,579328.7000000001,487220.7,443167.30000000005,257370.30000000002,185797.0,774286.1000000001,119052.6,21393.2
2005,406633.5,751262.7,657490.2,64826.600000000006,1353756.9000000001,910338.2000000001,753930.9,526559.6,344677.10000000003,181882.5,759064.9,200041.7,20765.1
2006,420084.89999999997,765025.1000000001,657982.2,65753.40000000001,1372926.7000000002,941434.4,765918.3,581726.9,365432.0,216294.90000000002,771831.3,199087.7,19490.2
2007,419476.1,771801.2999999999,658564.2,70048.3,1406805.9000000001,746594.1000000001,576484.3,637280.3,385896.0,251384.30000000002,790680.1000000001,141228.6,18467.6
2008,428338.8,781217.5999999999,671633.1,71591.1,1393357.6,457850.10000000003,374452.80000000005,550899.1,324022.30000000005,226876.80000000002,765438.3,97683.70000000001,18040.3
2009,409675.5,756788.3999999999,669769.1000000001,65675.8,1340047.6,474754.80000000005,382374.2,585526.2000000001,316264.80000000005,269261.4,734333.7000000001,102772.40000000001,19352.3
2010,407448.7,745676.5000000002,678979.7000000001,65062.700000000004,1309472.1,507303.10000000003,409658.4,588263.3,331376.2,256887.1,715306.0,109334.90000000001,17985.5
2011,405808.1,739680.7000000001,681988.4,66874.1,1279926.5,447161.4,366120.0,610705.9,343906.30000000005,266799.60000000003,695234.8,100811.1,17777.2
2012,399713.69999999995,734305.3,680385.8,68780.8,1259857.6,541048.1,440288.80000000005,697747.5,397181.0,300566.5,683604.4,118922.70000000001,17635.3
2013,416259.10000000003,750235.2999999998,710659.2999999999,70156.5,1247935.7,819460.9,648406.1000000001,826078.1000000001,499108.7,326969.4,678046.4,163875.1,19997.5
2014,427321.1,765592.1,736864.2999999999,68460.0,1255950.4000000001,916918.5,727370.3,915337.6000000001,562690.9,352646.7,680790.4,177881.6,20071.3
2015,427198.2,775084.6000000001,739437.8,67624.90000000001,1266287.3,1014783.8,805552.8,930149.4,601427.7000000001,328721.7,683510.6000000001,186196.6,19391.3
2016,431838.4,782488.4999999999,747565.1,68153.2,1294594.9000000001,992343.5,789038.9,978374.9,640359.2000000001,338015.7,698301.4,180850.7,19445.9
2017,441493.4,798630.7000000001,762492.0,71172.6,1310563.8,1249602.0,1002412.6000000001,1015378.5,684151.3,331227.2,696576.0,225457.2,20033.2
2018,440383.8,809684.5,769985.0,74203.40000000001,1337786.6,1031282.7000000001,831624.7000000001,1014190.7000000001,670627.6000000001,343563.10000000003,709993.3,191633.80000000002,20631.7
2019,448319.69999999995,819681.5,793233.1,74898.3,1363947.4000000001,1139157.3,903398.9,1088828.5,729390.0,359438.5,722366.1000000001,207866.1,21805.8
2020,441258.9,815128.2999999999,795973.6,72526.90000000001,1364016.1,1154288.3,903635.0,1149250.2,787136.0,362114.2,710289.9,198606.1,23058.899999999998
2021,479903.80000000005,848749.3,835115.8999999999,79163.70000000001,1373947.4000000001,1306647.8,1034335.4,1259399.0,837921.4,421477.60000000003,714765.8,244352.30000000002,22296.100000000002
2022,492274.5,888675.0999999999,868933.7000000001,89075.1,1402301.1,1220874.3,964338.1000000001,1324252.5,900795.7000000001,423456.80000000005,728420.0,229360.40000000002,21774.1
2023,498444.2,923220.1000000001,894905.7,92697.20000000001,1446837.6,1441922.8,1127183.2,1476192.6,999913.5,476279.10000000003,747842.9,283403.9,22639.8
2024,512148.60000000003,976731.8,908421.6,95336.90000000001,1510508.8,1623780.3,1252238.6,1662632.5,1124160.6,538471.9,785121.7000000001,300770.2,24022.600000000002
