period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,ENTV,RENTHH,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,CCAV,TAXV,YIV,YCV,SDV,OTYDV
1994Q1,446307.3,247535.1,29812.0,66259.2,4229.0,71357.1,47099.7,-542.3,-7719.9,37756.0,45475.9,-11722.6,510178.0,266661.4,28673.8,80433.4,3822.2,73546.9,46403.3,-417.7,11054.6,44988.0,33933.4,4514.5,15775.7,11261.1,514692.5,1.143,1.077,0.9620000000000001,1.214,1.031,0.985,1.192,0.746,257725.8,206113.6590144585,29678.819182744344,-4120.666666666666,42528.83415330551,622.6916666666666,34533.76666666666,374053.86748663883,27640.527874419335,73747.26666666666,3549.9416666666666,13912.972529712557,31267.907663582624,6313.483115125779,967.3085972555834,3507.583333333334,58145.36406819583,41251.26035573582,34830.93232071663,273699.9281777971,49817.5909780114,23752.388108418007,23934.876076745124,31215.667789126484,122259.68866987298,89798.98821826112,38408.16748663885,43386.13333333333,-9329.140612304967,-34823.870943734015
1994Q2,443743.5,248758.1,31118.5,66065.0,-2884.5,72243.5,48013.6,622.8,-8364.0,37963.9,46327.9,-11829.6,509035.1,269173.0,29969.8,79979.9,-3045.2,75112.5,47380.2,489.0,9975.9,45500.1,35524.1,4173.7,15675.6,11501.8,513208.8,1.147,1.082,0.963,1.2109999999999999,1.04,0.987,1.199,0.767,263991.3,218159.80405957607,29529.232754466335,-5530.144444444445,43662.19530134613,697.9777777777778,32105.105555555558,378152.19530134613,30165.133754959523,71669.97777777779,3660.888888888889,13990.378538981284,32612.29434813575,6662.5944519836785,976.3274531851558,2478.2055555555553,50281.74049539221,43034.0676073698,28933.63162573594,284044.66029919375,48450.78737603024,21216.471844301173,25027.688241737633,32666.610146906467,121429.12381371653,82816.71361694357,38132.05085690169,43923.7388888889,-16560.923706413596,-32197.028700632392
1994Q3,448944.9,250619.4,33628.1,65999.2,-280.5,72788.8,46296.0,806.2,-9067.1,38658.4,47725.5,-11845.1,512959.7,270641.8,32363.1,79430.6,-138.1,75898.3,45540.6,656.8,8566.6,45053.8,36487.2,4125.9,15953.4,11827.5,517085.6,1.143,1.08,0.9620000000000001,1.204,1.043,0.9840000000000001,1.165,0.765,259822.7,229994.50639992004,30338.66598325679,-4901.966666666667,41512.96918451983,668.125,36039.99166666667,372792.5150178531,28227.207012114242,71951.09999999999,3739.5874999999996,14069.613434652649,33321.33669600285,6989.441850413203,995.9100442717379,5109.808333333333,53639.3888660951,43871.51102431737,31814.606408614476,296909.6940846385,49064.56536577077,21793.720829275728,25334.085094148766,33319.43698883371,120541.43869727982,86927.76422672391,36611.002517853165,40318.820833333324,-4457.982370633283,-13844.41469938698
1994Q4,447168.4,250779.9,32218.2,67028.9,-1601.9,72949.8,45582.2,853.3,-9378.7,38820.6,48199.3,-11263.3,511538.9,271203.8,30940.0,80298.5,-1605.1,76696.6,44714.2,706.3,8584.6,45109.8,36525.2,4169.0,16523.7,12354.7,515707.9,1.1440000000000001,1.081,0.96,1.198,1.051,0.981,1.162,0.758,263912.3,233589.93449506233,30117.712441308384,-5803.633333333333,41965.15194274791,638.4083333333333,33878.791666666664,373162.5144427479,29394.696965353753,68724.83333333334,3725.4541666666664,14230.693931730877,33336.57730294259,7132.764513264935,1000.1199387186516,3921.8416666666667,52966.497380290435,43610.18103270631,31250.73736508194,299915.5447910314,50258.55536648556,21697.369142956977,25197.507800288673,33330.39225227226,119710.87384112338,86278.49876031117,36161.518609414576,39209.90416666668,-6574.038869476877,-15238.335787080461
1995Q1,452112.9,252929.0,31121.5,68647.7,2253.7,74470.2,43635.2,-27.7,-10499.9,39311.7,49811.7,-10416.9,514974.9,272797.6,29884.3,82049.8,2064.8,77678.5,42839.6,-147.4,7807.7,45054.0,37246.3,4329.7,16929.7,12600.1,519304.5,1.139,1.079,0.96,1.195,1.043,0.982,1.146,0.748,263228.9,232403.99863223918,30171.91366827014,-5177.066666666667,41235.116668058996,612.025,35413.975,373622.69583472563,29555.265645508007,70095.7,3628.020833333333,14343.402506764578,33358.20893351465,7348.237009979642,997.474708907685,3759.958333333333,53213.0982666293,43983.73656565409,30624.357440544634,302650.368335988,51944.45329186686,22716.22506233303,24986.60758228685,33332.31930117418,118800.3886253371,86672.90180405184,36058.05000139233,38921.770833333336,-2690.8454279035795,-14563.982617739064
1995Q2,456276.0,254884.1,30381.5,71088.0,1116.7,74611.1,45415.7,199.2,-11408.4,39897.7,51306.1,-10011.9,518795.6,274211.7,28982.9,84418.3,956.1,78137.1,44466.7,220.5,7402.3,44073.6,36671.3,3484.2,15932.6,12448.4,522279.8,1.137,1.0759999999999998,0.9540000000000001,1.188,1.047,0.9790000000000001,1.105,0.715,264515.6,233622.52147326773,31255.542284750038,-5898.385416666667,41239.76130004658,591.7708333333333,34564.03125,371786.6498417132,29603.772977294535,67735.90104166667,3602.0020833333338,14506.821588793287,33849.91741301769,6922.216998256449,1016.9040972366928,4300.940625,52719.55041128716,46053.471662987635,29732.099565057226,302216.4532144445,53302.426315464814,22956.02906829463,25964.018726138904,33903.139821632045,118427.57441097256,86591.26845498389,35341.375883379915,37365.64270833334,2463.37655068218,-15619.794423022016
1995Q3,461708.6,256356.5,29741.6,72334.5,2105.5,75542.8,48919.0,173.1,-13893.6,40273.7,54167.3,-9570.7,525344.6,275754.9,28386.2,85770.3,2112.5,79100.3,47788.0,178.7,6253.6,46803.4,40549.8,4914.3,19953.1,15038.8,530258.9,1.138,1.0759999999999998,0.9540000000000001,1.186,1.047,0.977,1.162,0.7490000000000001,266548.4,235084.33383320406,31718.934503924655,-5248.851041666667,39499.063778896285,609.615625,34773.853124999994,376955.8085705629,30486.993184225143,72014.43645833334,3533.14375,14667.969729924815,34159.75739136052,7135.8903859718475,1006.8878533487585,3679.75,53672.26151426813,46796.77870783344,30433.36838284691,302078.89695304824,54119.47368834068,23246.119156234698,26032.882800641943,34175.66103996255,118448.8153941527,87855.14857904415,34250.212737229616,41383.342708333344,4358.364995321783,-15631.74654850841
1995Q4,462859.0,258171.2,30431.2,73525.1,1032.7,75788.8,49127.0,235.2,-16596.6,40158.0,56754.5,-8855.7,526984.5,277846.1,28943.2,86906.1,1000.2,79652.6,47966.7,221.8,4447.8,47881.9,43434.1,5250.9,20657.7,15406.9,532235.3,1.139,1.0759999999999998,0.951,1.182,1.051,0.976,1.192,0.765,269186.2,236932.85571294217,32080.617097177044,-5650.340625,38136.36996198313,657.4916666666667,35521.035416666666,388172.43037864973,30012.92085507556,82371.19270833333,3471.5166666666664,14803.936013963586,34610.228176629746,7394.544702549825,1045.776866707843,4605.4489583333325,54024.50565505165,47574.03679690589,30470.971348442017,302036.40236945543,53798.594640030235,23562.135694699085,26162.05468040418,34602.37624966185,118859.48659208535,88635.48329280296,32486.02933698313,50979.165624999994,-4793.444262063538,-16560.789503876644
1996Q1,466619.8,257410.0,31805.6,73285.0,1643.0,76458.8,51640.0,596.8,-17004.2,40800.6,57804.8,-9215.2,529055.7,276945.6,30312.7,86233.0,1340.1,79774.0,50358.7,486.0,3605.7,48837.2,45231.5,6081.1,12752.8,6671.8,535136.8,1.1340000000000001,1.0759999999999998,0.953,1.177,1.043,0.975,1.197,0.782,267655.8,234983.58607527585,32263.260694155724,-5586.756249999999,36867.40073114754,678.7125,33698.246875,384270.94448114757,31107.933741807006,81283.51250000001,3372.2749999999996,14931.3609379508,34952.82843579186,7592.662505385174,1058.3500137810072,3819.8468749999997,52856.63870992369,47758.80669135953,31241.419298043875,295585.15844371414,52936.20715852279,21906.09574918431,26217.60973626124,34868.62225542742,119803.8599300689,88016.13730265561,31280.644481147545,51636.25312500002,13.22020835604053,-16572.270331552776
1996Q2,472493.5,260510.4,33278.5,75804.0,2978.7,76391.4,50912.7,190.8,-18807.6,40751.8,59559.4,-8765.6,536048.9,281088.9,31707.5,88655.2,3053.1,80799.8,49491.4,151.1,1101.8,48942.4,47840.6,6808.3,12950.5,6142.3,542857.1,1.135,1.079,0.953,1.17,1.058,0.972,1.2009999999999998,0.8029999999999999,269167.3,237641.62790460236,31654.866867488334,-5475.27,35201.71984527589,612.92,35565.570625,391950.5342202759,30959.355242235102,89039.283125,3404.58125,15079.690316545692,34695.8527012654,7141.7396888105295,1111.6302453177161,3753.54625,54318.32962699468,47360.74927164405,29258.762907555752,301458.4762414938,53902.46995673497,25261.913805503744,26543.529735259413,34796.89966938766,120635.35125336495,89317.57638244715,29726.44984527589,57491.21375,-772.0388930284535,-15759.072006317263
