period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,ENTV,RENTHH,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,CCAV,TAXV,YIV,YCV,SDV,OTYDV
1994Q1,465071.2,252340.1,33377.1,75393.7,3963.4,70669.3,47231.9,-489.4,-5582.8,34405.8,39988.6,-11832.0,521932.3,265793.0,31518.2,90299.4,3744.7,73514.6,46425.4,-417.7,11054.6,44988.0,33933.4,4450.5,15710.2,11259.6,526382.8,1.122,1.053,0.9440000000000001,1.198,1.04,0.983,1.308,0.8490000000000001,257726.0,206113.72113331492,29678.813587989127,-4119.4,42414.82123549693,622.5166666666667,35303.09166666667,382807.2795688303,27452.693422468412,82610.09999999999,3553.241666666667,13788.147424726578,31091.24129904762,6308.628412442495,967.3085972555834,3507.583333333334,58145.36406819583,41251.22158024314,34825.251690658406,274470.38650578825,49819.1812459498,23761.08869465276,23765.340898218255,31041.277907916334,125417.08944724295,89627.6182932275,38295.42123549693,51482.76666666666,-9375.26359065628,-34716.234371423605
1994Q2,461500.8,253545.7,34755.7,74417.6,-2837.6,71469.7,48079.7,559.7,-6148.3,34611.7,40760.0,-12341.5,519859.4,268136.3,32867.2,88965.6,-3053.3,75096.9,47385.4,485.4,9975.9,45500.1,35524.2,4147.2,15649.7,11502.6,524006.5,1.126,1.058,0.946,1.195,1.051,0.986,1.315,0.872,263992.3,218159.78063303686,29530.792980825863,-5515.983333333334,39204.841287881296,603.0222222222222,35116.200000000004,385534.0301767702,30106.72344400108,83576.78333333334,3673.0666666666666,13899.12341145692,32554.66963626327,6660.67503125144,976.3274531851558,2478.2055555555553,50281.74049539221,43035.64398129016,28909.28037786347,282592.99727355724,48452.383703878455,21240.939661725435,24970.63588528081,32607.638369717406,124491.73701411739,82757.85840930631,33688.85795454796,52736.67222222222,-16148.600005049433,-32227.803359048907
1994Q3,466138.1,255481.3,37290.9,73966.8,-565.9,71995.3,46324.4,761.8,-6755.6,35232.9,41988.5,-12360.9,522918.9,269655.1,35305.0,87971.7,-627.7,75839.4,45549.5,659.2,8566.7,45053.8,36487.2,4189.9,16017.4,11827.5,527108.7,1.122,1.055,0.9470000000000001,1.189,1.053,0.983,1.2790000000000001,0.8690000000000001,259824.1,229994.48430789643,30340.11263570352,-4890.379166666666,37320.84595722636,582.1708333333333,38767.68333333333,380265.4334572264,28194.5132878705,83675.88333333333,3752.8125,14008.988780482618,33297.3751325019,6985.816632142661,995.9100442717379,5109.808333333333,53639.3888660951,43873.03482003342,31786.855104516748,295500.3207049187,49065.744132203676,21821.472658598257,25315.09240272016,33296.81907913456,123497.39392128764,86905.14684224957,32430.466790559694,49243.183333333334,-4841.03812431515,-13818.162793294527
1994Q4,464398.7,255654.0,35860.3,74798.9,-1347.2,72006.9,45549.7,796.1,-7035.6,35379.0,42414.6,-11884.3,521948.4,270279.4,33848.8,88732.9,-1465.9,76554.6,44706.2,707.8,8584.6,45109.8,36525.2,4207.1,16562.8,12355.8,526155.4,1.124,1.057,0.9440000000000001,1.186,1.063,0.981,1.275,0.861,263914.1,233590.17424323782,30119.024802135445,-5796.9625,37499.95157629775,545.4541666666667,36556.0,380440.5057429644,29432.673741847993,80539.05,3738.9125,14078.668541925505,33374.71901050352,7134.369355765027,1000.1199387186516,3921.8416666666667,52966.497380290435,43611.446245877225,31223.098720420683,298255.2094382373,50259.83071156774,21725.182905073314,25234.733267830183,33369.22256231386,122572.04148816208,86317.50418780785,31702.989076297752,48267.41666666667,-6304.428126773622,-15140.12788333022
1995Q1,468902.1,257638.3,34856.8,75800.8,2075.4,73872.9,43866.6,-111.9,-7973.2,35829.2,43802.4,-11123.7,524171.7,271677.7,32721.7,89534.6,1984.4,77694.1,42900.9,-149.4,7807.7,45054.0,37246.3,4263.8,16862.2,12598.4,528435.5,1.1179999999999999,1.054,0.9390000000000001,1.181,1.052,0.978,1.2570000000000001,0.85,263230.4,232404.14093691375,30173.216902635868,-5177.929166666667,36613.59627471153,517.3041666666668,37713.450000000004,379712.1837747115,29570.70065081824,80887.43333333332,3641.3791666666666,14364.54033158585,33374.84188392962,7353.037896969828,997.474708907685,3759.958333333333,53213.0982666293,43984.97385034412,30596.66037708652,300825.3204818844,51945.990112334206,22743.80698009979,24999.22395821845,33349.73656409596,121550.46400965354,86690.20392128227,31435.667108044865,47332.66666666665,-2416.926015127683,-14096.481677730742
1995Q2,473159.2,260008.9,34180.7,77998.9,1035.9,73792.6,45607.5,191.0,-8751.5,36383.2,45134.6,-10904.6,527601.4,273161.6,31841.8,91525.2,996.9,77970.1,44484.6,219.0,7402.3,44073.6,36671.3,3448.0,15897.1,12449.1,531049.4,1.115,1.051,0.932,1.173,1.057,0.975,1.2109999999999999,0.812,264516.5,233622.5192556098,31256.678995347338,-5900.954166666667,35993.2259727177,475.28437499999995,36664.78854166667,377661.6572227177,29615.09131738259,78965.63541666667,3611.965625,14335.434662880547,33860.973574405914,6923.485798155122,1016.9040972366928,4300.940625,52719.55041128716,46054.63042000757,29699.904430495157,299223.86523924046,53303.65772731531,22988.91065991757,25971.890000598556,33912.279895990374,121177.96601789302,86601.0949864031,30092.271806051034,46388.096875,2598.437488398864,-15499.772151956451
1995Q3,478594.6,261305.8,33485.7,79218.3,2220.9,74692.3,49114.9,149.1,-10942.4,36707.0,47649.5,-10650.0,534038.4,274714.2,31226.2,92816.5,2139.8,78907.1,47800.8,180.2,6253.6,46803.4,40549.8,5015.7,20054.6,15038.9,539054.1,1.1159999999999999,1.051,0.9329999999999999,1.172,1.056,0.973,1.275,0.851,266549.6,235084.3579570747,31720.00582093764,-5243.640625,34680.00709606201,495.3364583333333,36683.084375,382945.2685543953,30472.85766971245,82922.05833333333,3541.907291666667,14494.435431307134,34142.639966229064,7138.465038243946,1006.8878533487585,3679.75,53672.26151426813,46797.54282919969,30401.388253410794,299303.9352748089,54120.65685818298,23278.13833930278,26018.238210125026,34163.59110171773,121281.22063929755,87843.1176944313,29436.366471062007,50276.21770833334,4343.769704589446,-15530.481971825531
1995Q4,479792.4,263004.1,34307.7,80583.4,941.7,75022.1,49435.2,212.5,-13363.6,36598.6,49962.1,-10350.9,535695.9,276855.0,31785.8,93966.6,881.3,79553.5,47985.0,220.7,4447.8,47882.0,43434.1,5279.3,20687.4,15408.1,540975.2,1.117,1.053,0.9259999999999999,1.166,1.06,0.971,1.308,0.8690000000000001,269187.5,236932.7748095053,32081.91532144842,-5636.037499999999,33412.176236857056,534.6583333333333,37428.78229166667,394233.01373685704,30026.485373162213,93247.48854166667,3487.228125,14721.911914366921,34623.11548199087,7393.488309996299,1045.776866707843,4605.4489583333325,54024.50565505165,47575.32725297578,30437.91981324016,299586.3660928476,53799.84738853971,23595.33075738527,26175.488263541964,34614.7534402461,121854.33713384,88648.00401087153,27776.138736857058,59840.59270833333,-5121.4553526098025,-16228.692757999874
1996Q1,484274.9,262932.9,35121.5,81208.2,1746.9,75579.4,51319.6,588.1,-13733.2,37189.6,50922.8,-10488.5,540544.8,276554.3,33318.5,94768.3,1679.5,79721.5,50408.8,488.1,3605.8,48837.2,45231.4,6034.5,12705.6,6671.0,546579.4,1.1159999999999999,1.052,0.9490000000000001,1.167,1.055,0.982,1.3130000000000002,0.888,267657.1,234983.6557343888,32264.508652860095,-5564.70625,32473.193344041196,555.3,35364.659375,392829.48084404116,31099.578389080347,94321.43125,3387.1625000000004,14828.075832774965,34946.594670478604,7589.145784492419,1058.3500137810072,3819.8468749999997,52856.63870992369,47759.950935281166,31208.6319064071,293045.5674728405,52936.89933162264,21936.874306621925,26213.173247136136,34860.669045409566,123073.99602355994,88006.1752584386,26908.487094041197,62899.23437499999,-364.9990380106028,-16417.70173613506
1996Q2,489504.0,265562.5,36628.9,83554.6,3044.8,75573.4,50544.2,163.8,-15370.1,37168.9,52539.0,-10198.2,546533.7,280023.9,34722.5,96949.2,3243.0,80829.4,49514.3,149.7,1101.8,48942.4,47840.6,6773.6,12916.1,6142.5,553307.3,1.117,1.054,0.948,1.16,1.07,0.98,1.317,0.9109999999999999,269168.2,237641.60246223502,31656.051556853494,-5453.63875,31352.952205370948,485.62812499999995,36908.284999999996,399441.0959553709,30953.943623373896,100466.99,3420.964375,15117.753997398477,34689.95293620061,7142.427299805307,1111.6302453177161,3753.54625,54318.32962699468,47361.557958225916,29229.158993997262,299232.6709768146,53903.365362240205,25291.49526702642,26533.65035329703,34787.707898420056,124153.34599750311,89308.36215944373,25899.313455370946,67465.29750000002,-1321.3036012941739,-15509.414638573362
