period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,SDV,CCAV,TAXV,YIV,YCV,OTYDV
1994Q1,446212.8,247434.4,29812.0,66259.2,4229.0,71357.4,47102.2,-542.3,-7720.3,37755.8,45476.1,-11718.7,510102.9,266582.0,28673.8,80433.4,3822.2,73546.9,46407.7,-417.7,11054.6,44988.0,33933.4,4450.2,15710.1,11259.9,514553.1,1.143,1.077,0.9620000000000001,1.214,1.031,0.985,1.192,0.746,235791.8863483624,206113.6590144585,29678.819182744344,-4120.666666666666,46078.77581997218,622.6916666666666,34732.90800261969,354582.2723501582,27640.527874419335,13912.972529712557,31267.907663582624,6313.483115125779,967.3085972555834,3507.583333333334,58145.36406819583,41251.26035573582,34830.93232071663,273699.9281777971,49817.5909780114,23752.388108418007,23934.876076745124,31215.667789126484,0.0,132262.74319404864,89798.98821826112,41958.109153305515,42099.36884587059,-16639.040294716076
1994Q2,443826.6,248848.7,31118.5,66065.0,-2884.5,72243.8,48012.6,622.8,-8364.6,37963.7,46328.2,-11835.9,509036.8,269175.1,29969.8,79979.9,-3045.2,75112.5,47379.8,489.0,9975.9,45500.0,35524.1,4147.3,15649.7,11502.4,513184.1,1.147,1.082,0.963,1.2109999999999999,1.04,0.987,1.199,0.767,247815.72368032672,218293.84725907803,29517.386865734094,-5574.213888888889,47409.82404468569,699.4833333333333,32040.927345483364,360773.5792527914,30231.48199691621,13994.061742574258,32624.697120636618,6679.6057720621,977.435175205603,2424.5375,50212.8990345852,43015.41727319768,28900.221055897324,284173.70750049915,48434.97620094004,21183.150588791283,25015.450993761307,32672.49194102901,0.0,122162.5663061795,82755.86358571763,41835.6101557968,39081.318071184534,-19612.105441841704
1994Q3,448928.0,250601.5,33628.1,65999.2,-280.5,72789.1,46297.9,806.2,-9067.6,38658.1,47725.7,-11845.8,512988.9,270667.3,32363.1,79430.6,-138.1,75898.3,45544.1,656.8,8566.6,45053.8,36487.2,4189.9,16017.4,11827.5,517178.8,1.143,1.08,0.9620000000000001,1.204,1.043,0.9840000000000001,1.165,0.765,259958.15304771822,229597.68635268864,30363.108220208207,-4750.451041666666,44987.837389519955,663.615625,36163.99368451911,372398.47889420413,28114.512092793655,14069.408437742713,33294.20774038783,6941.40224086403,992.942038205424,5204.95,53997.836220842386,43916.229971261375,31998.41131127772,296381.03571765387,49113.64557112976,21962.693561093613,25375.69769740208,33310.04197647153,0.0,116675.22912932438,87271.14684884287,40237.38634785329,36038.94581411351,-17927.95269269409
1994Q4,447151.2,250770.1,32218.2,67028.9,-1601.9,72950.1,45574.8,853.3,-9379.1,38820.4,48199.5,-11263.1,511572.0,271243.2,30940.0,80298.5,-1605.1,76696.6,44707.9,706.3,8584.6,45109.8,36525.2,4207.3,16562.9,12355.6,515779.3,1.1440000000000001,1.082,0.96,1.198,1.051,0.981,1.162,0.758,264288.2756857887,234021.99165131903,30118.83483172807,-6004.740624999999,46080.07254787741,643.4916666666667,34351.16503311321,373521.09762173146,29305.533627265806,14199.826295096269,33311.542536953435,7156.340679067729,1002.2518452588101,4001.0489583333333,52341.92144476541,43612.64162119097,30894.14357051776,300985.7750284468,50266.34852379332,21430.059617349438,25145.341477743073,33303.93400206961,0.0,112955.31733453221,85628.13718993681,40075.33192287741,34806.32497995213,-19493.301570417127
1995Q1,452027.1,252839.0,31121.5,68647.7,2253.7,74470.6,43636.1,-27.7,-10500.4,39311.5,49811.9,-10413.4,514908.4,272728.7,29884.3,82049.8,2064.8,77678.5,42842.0,-147.4,7807.8,45054.1,37246.3,4263.4,16862.2,12598.8,519171.8,1.139,1.079,0.96,1.195,1.043,0.982,1.146,0.748,262079.5811665779,232013.30223748152,30161.068524315026,-5133.95625,44615.73722359813,611.5124999999999,34527.10817641401,375228.10672489967,29822.517227573313,14376.244857452419,33493.33015549963,7434.4820365229825,996.5992981392251,3601.8468749999997,53561.72576938738,43883.63752054377,30992.513736277713,300955.18353721575,51646.93466889988,22728.80158606486,24990.875311366595,33421.956646028804,0.0,114123.58350407158,87143.27196837138,39481.78097359813,39139.63640830963,-17038.026441452734
1995Q2,456357.0,254971.2,30381.5,71088.0,1116.7,74611.4,45416.3,199.2,-11409.0,39897.5,51306.4,-10018.3,518785.5,274200.1,28982.9,84418.3,956.1,78137.1,44468.2,220.5,7402.3,44073.6,36671.3,3448.1,15897.1,12449.0,522233.6,1.137,1.075,0.9540000000000001,1.188,1.047,0.9790000000000001,1.105,0.715,264648.42332153395,233432.09151964413,31224.743518376403,-5832.47,44891.908638924615,587.3199999999999,34956.05291208375,370594.9998391514,29667.41287965278,14519.05966683888,33746.13250708904,6850.407702380926,1020.7700516678776,4145.94625,52695.53823135231,46091.782970221284,29513.56439379039,302728.0620680341,53632.64599923135,23190.171729991267,25978.50431392859,33849.682067977395,0.0,121934.86434287118,86553.41819175906,39059.438638924614,31931.08496660908,-19795.621439727896
1995Q3,461696.9,256344.3,29741.6,72334.5,2105.5,75543.1,48920.7,173.1,-13894.1,40273.5,54167.6,-9571.7,525380.9,275787.9,28386.3,85770.3,2112.5,79100.3,47791.3,178.7,6253.6,46803.4,40549.8,5015.8,20054.6,15038.8,530396.6,1.138,1.0759999999999998,0.9540000000000001,1.186,1.047,0.977,1.162,0.7490000000000001,267014.85312231904,235270.0995109031,31745.54909528629,-5260.131875,43113.6035505078,611.954375,34970.82694052366,375471.17061540275,30311.567482432965,14656.570938810282,34155.55839331889,7126.287295639305,1004.7473308515018,3872.046875,53964.76819550528,46861.2754438248,30848.07675442027,302343.7209496997,54274.69378701171,23124.134202407502,26054.340306661463,34185.37493315227,0.0,124612.20132644498,88157.58588998005,37853.471675507804,35632.01887705225,-19320.904252417386
1995Q4,462830.5,258148.5,30431.1,73525.1,1032.7,75789.2,49120.7,235.2,-16597.1,40157.7,56754.8,-8854.9,527014.7,277881.4,28943.2,86906.1,1000.2,79652.6,47961.6,221.8,4447.8,47882.0,43434.1,5279.6,20687.4,15407.8,532294.3,1.139,1.0759999999999998,0.951,1.182,1.051,0.976,1.192,0.765,269424.96383213095,237323.4556709788,32095.66971040022,-5695.928125,41630.35648027992,656.2325,35231.3443100839,387877.22846526763,29741.889420407635,14757.016041796707,34634.72280584614,7417.293731013955,1047.9449704935435,4949.1537499999995,54609.58816447179,47561.3872856372,30452.15501638315,301815.5857689357,53288.44825774655,24168.3525327139,26154.675900607726,34619.91460211523,0.0,114746.31068261707,89240.42215121227,35934.428355279924,47286.49196777286,-19745.98480928532
1996Q1,466681.8,257477.9,31805.6,73285.0,1643.0,76459.1,51639.2,596.8,-17004.7,40800.4,57805.1,-9220.1,529017.7,276906.9,30312.7,86233.0,1340.1,79774.0,50359.3,486.0,3605.8,48837.3,45231.5,6034.4,12705.5,6671.2,535052.0,1.1340000000000001,1.075,0.953,1.177,1.043,0.975,1.197,0.782,266724.5385577889,234486.4310710039,32206.140778985955,-5449.959999999999,40107.53132746771,686.6175000000001,33821.450442746114,386754.85386020225,31545.16575960334,14978.708438871638,34902.19548247988,7529.011850238168,1052.0559179004924,3284.8424999999997,51220.78198361142,47635.041248433976,30681.539025607166,296073.46305570484,52916.547637259326,20960.90160385829,26237.414358687514,34818.48212682617,0.0,116763.60651297157,86460.92275629163,34657.57132746771,51551.29353219955,-19180.02463551599
1996Q2,472568.1,260591.7,33278.5,75804.0,2978.7,76391.8,50912.1,190.8,-18808.2,40751.4,59559.6,-8771.3,536049.4,281088.8,31707.5,88655.2,3053.1,80799.8,49492.2,151.1,1101.7,48942.3,47840.5,6773.6,12916.1,6142.4,542823.1,1.1340000000000001,1.079,0.953,1.17,1.058,0.972,1.2009999999999998,0.8029999999999999,269248.2458597741,237572.4743299868,31700.94628941116,-5654.823333333334,38674.59102373792,607.7908333333334,35350.034806514675,390625.49403809576,31005.535567863528,15092.232234992929,34726.52969366526,7204.420530526111,1113.0265823752645,3765.3679166666666,54960.51834673142,47479.61521198497,29557.57520512379,301026.08122739696,54245.520912550324,25630.31450759528,26477.594228214657,34795.04134111603,0.0,121167.8325374549,89982.93105383511,33019.76769040459,53007.44568140237,-19455.12095807132
