variable,role,eq_model,eq_paper,paper_role,paper_name,paper_unit,paper_source,paper_source_full,model_unit,status,source_used,raw_file,transform,unit_conversion,missing_handling,constant_value,first_valid,last_valid,n_missing_window,n_missing_solve_period,issue
GDP,内生,2,2,内生,国内総生産(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
CP,内生,3,3,内生,民間最終消費支出(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
IHP,内生,5,5,内生,民間住宅固定資本形成(実質）,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
IFP,内生,4,4,内生,民間企業設備固定資本形成(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
INP,内生,6,6,内生,民間企業在庫品増加(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
CG,内生,7,7,内生,政府最終消費支出(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
IG,外生,,,外生,公的固定資本形成（実質）,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
ING,外生,,,外生,公的在庫品増加(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
BF,内生,8,8,内生,財貨・サービスの純輸出(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
XGS,内生,9,9,内生,財貨・サービスの輸出(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
MGS,内生,10,10,内生,財貨・サービスの輸入(実質),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 実質（連鎖）季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-jk2522.csv,そのまま,10億円・年率（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
KAISA,外生,,,論文にない,,,,,10億円・季調年率,論文にない補助変数,ESRI 四半期GDP速報 実質 開差（連鎖方式の不突合）,data/raw/gaku-jk2522.csv,式2（実質GDPの定義式）を実績で閉じるために使用,10億円・年率,なし,,2010Q1,2021Q4,0,0,
GDPV,内生,13,13,内生,国内総生産(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
CPV,内生,14,14,内生,民間最終消費支出(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
IHPV,内生,16,16,内生,民間住宅固定資本形成(名目）,10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
IFPV,内生,15,15,内生,民間企業設備固定資本形成(名目),10億円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10億円・季調年率,論文どおり,ESRI 2015年基準 四半期GDP速報 名目 季節調整系列 2025年4-6月期2次QE + 2022年度年次推計,data/raw/gaku-mk2522.csv,そのまま,10億円・年率,なし,,2010Q1,2021Q4,0,0,
