cat01_code,cat01_name,cat02_code,cat02_name,value,unit
0100200,稼働率ウエイト,1100000000,1100000000 製造工業,10000,
0100200,稼働率ウエイト,1101000000,1101000000 鉄鋼・非鉄金属工業,820.3,
0100200,稼働率ウエイト,1101100000,1101100000 鉄鋼業,555.8,
0100200,稼働率ウエイト,1101200000,1101200000 非鉄金属工業,264.5,
0100200,稼働率ウエイト,1102000000,1102000000 金属製品工業,435.4,
0100200,稼働率ウエイト,1103000000,1103000000 生産用機械工業,929.7,
0100200,稼働率ウエイト,1104000000,1104000000 汎用・業務用機械工業,697.1,
0100200,稼働率ウエイト,1105000000,1105000000 電子部品・デバイス工業,762.6,
0100200,稼働率ウエイト,1106000000,1106000000 電気・情報通信機械工業,1102.4,
0100200,稼働率ウエイト,1106100000,1106100000 電気機械工業,784.8,
0100200,稼働率ウエイト,1106200000,1106200000 情報通信機械工業,317.6,
0100200,稼働率ウエイト,1107000000,1107000000 輸送機械工業,2359.5,
0100200,稼働率ウエイト,1108000000,1108000000 窯業・土石製品工業,422.8,
0100200,稼働率ウエイト,1109000000,1109000000 化学工業,1435.9,
0100200,稼働率ウエイト,1111000000,1111000000 石油・石炭製品工業,155.1,
0100200,稼働率ウエイト,1113000000,1113000000 パルプ・紙・紙加工品工業,297.6,
0100200,稼働率ウエイト,1115000000,1115000000 その他工業,581.6,
0100200,稼働率ウエイト,1115100000,1115100000 繊維工業,239.4,
0100200,稼働率ウエイト,1115600000,1115600000 その他製品工業,342.2,
0100200,稼働率ウエイト,4100100000,4100100000 機械工業,5868.9,
0100200,稼働率ウエイト,4100200000,4100200000 製造工業（除．機械工業）,4131.1,
0100200,稼働率ウエイト,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,1626.8,
0100200,稼働率ウエイト,4300001000,4300001000 <旧特掲>家庭用電気製品,550.6,
0100200,稼働率ウエイト,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,2235.1,
0100200,稼働率ウエイト,4300003000,4300003000 <旧特掲>石油化学製品,900,
0500100,201301,1100000000,1100000000 製造工業,93.1,
0500100,201301,1101000000,1101000000 鉄鋼・非鉄金属工業,98.1,
0500100,201301,1101100000,1101100000 鉄鋼業,100.5,
0500100,201301,1101200000,1101200000 非鉄金属工業,92.6,
0500100,201301,1102000000,1102000000 金属製品工業,84.4,
0500100,201301,1103000000,1103000000 生産用機械工業,79.2,
0500100,201301,1104000000,1104000000 汎用・業務用機械工業,85.1,
0500100,201301,1105000000,1105000000 電子部品・デバイス工業,88.2,
0500100,201301,1106000000,1106000000 電気・情報通信機械工業,97.8,
0500100,201301,1106100000,1106100000 電気機械工業,92.9,
0500100,201301,1106200000,1106200000 情報通信機械工業,108.5,
0500100,201301,1107000000,1107000000 輸送機械工業,93.7,
0500100,201301,1108000000,1108000000 窯業・土石製品工業,96.1,
0500100,201301,1109000000,1109000000 化学工業,94.8,
0500100,201301,1111000000,1111000000 石油・石炭製品工業,93.4,
0500100,201301,1113000000,1113000000 パルプ・紙・紙加工品工業,97,
0500100,201301,1115000000,1115000000 その他工業,99.6,
0500100,201301,1115100000,1115100000 繊維工業,96.5,
0500100,201301,1115600000,1115600000 その他製品工業,102,
0500100,201301,4100100000,4100100000 機械工業,91.1,
0500100,201301,4100200000,4100200000 製造工業（除．機械工業）,95.7,
0500100,201301,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,82.1,
0500100,201301,4300001000,4300001000 <旧特掲>家庭用電気製品,87.8,
0500100,201301,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,93.8,
0500100,201301,4300003000,4300003000 <旧特掲>石油化学製品,93.7,
0500300,201302,1100000000,1100000000 製造工業,94.4,
0500300,201302,1101000000,1101000000 鉄鋼・非鉄金属工業,98.5,
0500300,201302,1101100000,1101100000 鉄鋼業,100.2,
0500300,201302,1101200000,1101200000 非鉄金属工業,94.8,
0500300,201302,1102000000,1102000000 金属製品工業,87.6,
0500300,201302,1103000000,1103000000 生産用機械工業,80.8,
0500300,201302,1104000000,1104000000 汎用・業務用機械工業,91.1,
0500300,201302,1105000000,1105000000 電子部品・デバイス工業,88.2,
0500300,201302,1106000000,1106000000 電気・情報通信機械工業,101.3,
0500300,201302,1106100000,1106100000 電気機械工業,94,
0500300,201302,1106200000,1106200000 情報通信機械工業,116.8,
0500300,201302,1107000000,1107000000 輸送機械工業,96,
0500300,201302,1108000000,1108000000 窯業・土石製品工業,97.6,
0500300,201302,1109000000,1109000000 化学工業,93.9,
0500300,201302,1111000000,1111000000 石油・石炭製品工業,94.2,
0500300,201302,1113000000,1113000000 パルプ・紙・紙加工品工業,97.1,
0500300,201302,1115000000,1115000000 その他工業,100.7,
0500300,201302,1115100000,1115100000 繊維工業,97.4,
0500300,201302,1115600000,1115600000 その他製品工業,103.1,
0500300,201302,4100100000,4100100000 機械工業,92.9,
0500300,201302,4100200000,4100200000 製造工業（除．機械工業）,96.2,
0500300,201302,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,85.2,
0500300,201302,4300001000,4300001000 <旧特掲>家庭用電気製品,88.7,
0500300,201302,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,96.3,
0500300,201302,4300003000,4300003000 <旧特掲>石油化学製品,90.9,
0500500,201303,1100000000,1100000000 製造工業,95,
0500500,201303,1101000000,1101000000 鉄鋼・非鉄金属工業,100.1,
0500500,201303,1101100000,1101100000 鉄鋼業,102.4,
0500500,201303,1101200000,1101200000 非鉄金属工業,95,
0500500,201303,1102000000,1102000000 金属製品工業,93,
0500500,201303,1103000000,1103000000 生産用機械工業,82.2,
0500500,201303,1104000000,1104000000 汎用・業務用機械工業,93.7,
0500500,201303,1105000000,1105000000 電子部品・デバイス工業,89.2,
0500500,201303,1106000000,1106000000 電気・情報通信機械工業,102.3,
0500500,201303,1106100000,1106100000 電気機械工業,94.5,
0500500,201303,1106200000,1106200000 情報通信機械工業,121.8,
0500500,201303,1107000000,1107000000 輸送機械工業,93.8,
0500500,201303,1108000000,1108000000 窯業・土石製品工業,98.3,
0500500,201303,1109000000,1109000000 化学工業,100.7,
0500500,201303,1111000000,1111000000 石油・石炭製品工業,93.2,
0500500,201303,1113000000,1113000000 パルプ・紙・紙加工品工業,97,
0500500,201303,1115000000,1115000000 その他工業,101.5,
0500500,201303,1115100000,1115100000 繊維工業,98.2,
0500500,201303,1115600000,1115600000 その他製品工業,103.8,
0500500,201303,4100100000,4100100000 機械工業,92.8,
0500500,201303,4100200000,4100200000 製造工業（除．機械工業）,98.8,
0500500,201303,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,86.7,
0500500,201303,4300001000,4300001000 <旧特掲>家庭用電気製品,90.8,
0500500,201303,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,93.9,
0500500,201303,4300003000,4300003000 <旧特掲>石油化学製品,100.1,
0500700,201304,1100000000,1100000000 製造工業,96.2,
0500700,201304,1101000000,1101000000 鉄鋼・非鉄金属工業,101,
0500700,201304,1101100000,1101100000 鉄鋼業,104.1,
0500700,201304,1101200000,1101200000 非鉄金属工業,95.6,
0500700,201304,1102000000,1102000000 金属製品工業,88.9,
0500700,201304,1103000000,1103000000 生産用機械工業,79.2,
0500700,201304,1104000000,1104000000 汎用・業務用機械工業,94.7,
0500700,201304,1105000000,1105000000 電子部品・デバイス工業,88.5,
0500700,201304,1106000000,1106000000 電気・情報通信機械工業,102.5,
0500700,201304,1106100000,1106100000 電気機械工業,95.8,
0500700,201304,1106200000,1106200000 情報通信機械工業,120.4,
0500700,201304,1107000000,1107000000 輸送機械工業,98.3,
0500700,201304,1108000000,1108000000 窯業・土石製品工業,101.4,
0500700,201304,1109000000,1109000000 化学工業,98.7,
0500700,201304,1111000000,1111000000 石油・石炭製品工業,92.9,
0500700,201304,1113000000,1113000000 パルプ・紙・紙加工品工業,99.2,
0500700,201304,1115000000,1115000000 その他工業,102.6,
0500700,201304,1115100000,1115100000 繊維工業,98.5,
0500700,201304,1115600000,1115600000 その他製品工業,105.5,
0500700,201304,4100100000,4100100000 機械工業,94.6,
0500700,201304,4100200000,4100200000 製造工業（除．機械工業）,98.7,
0500700,201304,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,86.2,
0500700,201304,4300001000,4300001000 <旧特掲>家庭用電気製品,95.5,
0500700,201304,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,98.5,
0500700,201304,4300003000,4300003000 <旧特掲>石油化学製品,98.5,
0500900,201305,1100000000,1100000000 製造工業,98.5,
0500900,201305,1101000000,1101000000 鉄鋼・非鉄金属工業,101.5,
0500900,201305,1101100000,1101100000 鉄鋼業,103.9,
0500900,201305,1101200000,1101200000 非鉄金属工業,95.9,
0500900,201305,1102000000,1102000000 金属製品工業,92.6,
0500900,201305,1103000000,1103000000 生産用機械工業,84.8,
0500900,201305,1104000000,1104000000 汎用・業務用機械工業,98.5,
0500900,201305,1105000000,1105000000 電子部品・デバイス工業,93,
0500900,201305,1106000000,1106000000 電気・情報通信機械工業,106.4,
0500900,201305,1106100000,1106100000 電気機械工業,98.3,
0500900,201305,1106200000,1106200000 情報通信機械工業,125.7,
0500900,201305,1107000000,1107000000 輸送機械工業,99.5,
0500900,201305,1108000000,1108000000 窯業・土石製品工業,102.7,
0500900,201305,1109000000,1109000000 化学工業,102.8,
0500900,201305,1111000000,1111000000 石油・石炭製品工業,91.1,
0500900,201305,1113000000,1113000000 パルプ・紙・紙加工品工業,99.5,
0500900,201305,1115000000,1115000000 その他工業,102.5,
0500900,201305,1115100000,1115100000 繊維工業,98.6,
0500900,201305,1115600000,1115600000 その他製品工業,105.6,
0500900,201305,4100100000,4100100000 機械工業,97.2,
0500900,201305,4100200000,4100200000 製造工業（除．機械工業）,100.9,
0500900,201305,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,90.7,
0500900,201305,4300001000,4300001000 <旧特掲>家庭用電気製品,98,
0500900,201305,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,99.6,
0500900,201305,4300003000,4300003000 <旧特掲>石油化学製品,101.7,
0501100,201306,1100000000,1100000000 製造工業,98.3,
0501100,201306,1101000000,1101000000 鉄鋼・非鉄金属工業,100.8,
0501100,201306,1101100000,1101100000 鉄鋼業,102.9,
0501100,201306,1101200000,1101200000 非鉄金属工業,96.3,
0501100,201306,1102000000,1102000000 金属製品工業,91.6,
0501100,201306,1103000000,1103000000 生産用機械工業,84.8,
0501100,201306,1104000000,1104000000 汎用・業務用機械工業,93.2,
0501100,201306,1105000000,1105000000 電子部品・デバイス工業,96.6,
0501100,201306,1106000000,1106000000 電気・情報通信機械工業,106,
0501100,201306,1106100000,1106100000 電気機械工業,98.1,
0501100,201306,1106200000,1106200000 情報通信機械工業,127.2,
0501100,201306,1107000000,1107000000 輸送機械工業,98.6,
0501100,201306,1108000000,1108000000 窯業・土石製品工業,100.2,
0501100,201306,1109000000,1109000000 化学工業,103.9,
0501100,201306,1111000000,1111000000 石油・石炭製品工業,96.9,
0501100,201306,1113000000,1113000000 パルプ・紙・紙加工品工業,100.1,
0501100,201306,1115000000,1115000000 その他工業,102.3,
0501100,201306,1115100000,1115100000 繊維工業,99,
0501100,201306,1115600000,1115600000 その他製品工業,104.8,
0501100,201306,4100100000,4100100000 機械工業,97,
0501100,201306,4100200000,4100200000 製造工業（除．機械工業）,100.4,
0501100,201306,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,88.6,
0501100,201306,4300001000,4300001000 <旧特掲>家庭用電気製品,99.5,
0501100,201306,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,98.6,
0501100,201306,4300003000,4300003000 <旧特掲>石油化学製品,106,
0501300,201307,1100000000,1100000000 製造工業,100.1,
0501300,201307,1101000000,1101000000 鉄鋼・非鉄金属工業,101.1,
0501300,201307,1101100000,1101100000 鉄鋼業,102.7,
0501300,201307,1101200000,1101200000 非鉄金属工業,97.6,
0501300,201307,1102000000,1102000000 金属製品工業,93.3,
0501300,201307,1103000000,1103000000 生産用機械工業,87.7,
0501300,201307,1104000000,1104000000 汎用・業務用機械工業,98.5,
0501300,201307,1105000000,1105000000 電子部品・デバイス工業,95.7,
0501300,201307,1106000000,1106000000 電気・情報通信機械工業,112.5,
0501300,201307,1106100000,1106100000 電気機械工業,102.9,
0501300,201307,1106200000,1106200000 情報通信機械工業,137.7,
0501300,201307,1107000000,1107000000 輸送機械工業,101.4,
0501300,201307,1108000000,1108000000 窯業・土石製品工業,100.8,
0501300,201307,1109000000,1109000000 化学工業,100,
0501300,201307,1111000000,1111000000 石油・石炭製品工業,95.9,
0501300,201307,1113000000,1113000000 パルプ・紙・紙加工品工業,100.3,
0501300,201307,1115000000,1115000000 その他工業,102.9,
0501300,201307,1115100000,1115100000 繊維工業,99.4,
0501300,201307,1115600000,1115600000 その他製品工業,105.5,
0501300,201307,4100100000,4100100000 機械工業,100.4,
0501300,201307,4100200000,4100200000 製造工業（除．機械工業）,99.8,
0501300,201307,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,92.3,
0501300,201307,4300001000,4300001000 <旧特掲>家庭用電気製品,104.7,
0501300,201307,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,101.3,
0501300,201307,4300003000,4300003000 <旧特掲>石油化学製品,99.2,
0501500,201308,1100000000,1100000000 製造工業,99.7,
0501500,201308,1101000000,1101000000 鉄鋼・非鉄金属工業,100.9,
0501500,201308,1101100000,1101100000 鉄鋼業,102.3,
0501500,201308,1101200000,1101200000 非鉄金属工業,98,
0501500,201308,1102000000,1102000000 金属製品工業,93.7,
0501500,201308,1103000000,1103000000 生産用機械工業,87.3,
0501500,201308,1104000000,1104000000 汎用・業務用機械工業,99.3,
0501500,201308,1105000000,1105000000 電子部品・デバイス工業,95.5,
0501500,201308,1106000000,1106000000 電気・情報通信機械工業,113.3,
0501500,201308,1106100000,1106100000 電気機械工業,102.4,
0501500,201308,1106200000,1106200000 情報通信機械工業,142.3,
0501500,201308,1107000000,1107000000 輸送機械工業,102.7,
