name,date,value,source
PSHARE,1975-01,276.09,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-02,299.81,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-03,313.5,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-04,320.57,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-05,329.65,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-06,327.74,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-07,323.47,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-08,309.81,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-09,299.07,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-10,308.57,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-11,315.79,ESRI esri_ci1_0907.xlsx col11
PSHARE,1975-12,315.91,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-01,337.33,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-02,336.89,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-03,341.6,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-04,334.41,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-05,341.17,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-06,352.54,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-07,351.37,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-08,355.16,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-09,354.88,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-10,351.59,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-11,346.93,ESRI esri_ci1_0907.xlsx col11
PSHARE,1976-12,364.87,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-01,379.53,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-02,380.55,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-03,376.92,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-04,374.55,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-05,378.9,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-06,376.04,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-07,375.06,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-08,380.99,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-09,387.65,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-10,380.98,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-11,367.2,ESRI esri_ci1_0907.xlsx col11
PSHARE,1977-12,362.68,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-01,374.29,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-02,384.47,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-03,397.03,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-04,410.48,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-05,409.68,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-06,412.07,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-07,422.56,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-08,419.87,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-09,427.97,ESRI esri_ci1_0907.xlsx col11
PSHARE,1978-10,436.1,ESRI esri_ci1_0907.xlsx col11
