実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,212.8 ","247,434.4 ","243,551.7 ","208,506.7 ","29,812.0 ","66,259.2 ","4,229.0 ","71,357.4 ","47,102.2 ",-542.3 ,"-7,720.3 ","37,755.8 ","45,476.1 ","-11,718.7 ",,"19,378.7 ","465,591.6 ","4,122.0 ","14,526.8 ","10,404.8 ","469,713.6 ",,"462,246.6 ","346,376.1 ","115,945.7 ",,"139,769.9 ",,"442,158.7 ",,,
4- 6.,"443,826.6 ","248,848.7 ","244,909.7 ","209,660.2 ","31,118.5 ","66,065.0 ","-2,884.5 ","72,243.8 ","48,012.6 ",622.8 ,"-8,364.6 ","37,963.7 ","46,328.2 ","-11,835.9 ",,"18,742.8 ","462,569.4 ","3,799.7 ","14,473.7 ","10,674.0 ","466,369.1 ",,"460,096.6 ","341,694.5 ","118,660.2 ",,"141,500.2 ",,"445,621.7 ",,,
7- 9.,"448,928.0 ","250,601.5 ","246,640.3 ","211,175.6 ","33,628.1 ","65,999.2 ",-280.5 ,"72,789.1 ","46,297.9 ",806.2 ,"-9,067.6 ","38,658.1 ","47,725.7 ","-11,845.8 ",,"18,143.0 ","467,071.1 ","3,871.3 ","14,798.6 ","10,927.2 ","470,942.4 ",,"465,711.5 ","348,107.9 ","117,731.7 ",,"142,083.6 ",,"448,123.3 ",,,
10-12.,"447,151.2 ","250,770.1 ","246,764.1 ","211,122.1 ","32,218.2 ","67,028.9 ","-1,601.9 ","72,950.1 ","45,574.8 ",853.3 ,"-9,379.1 ","38,820.4 ","48,199.5 ","-11,263.1 ",,"18,530.0 ","465,681.2 ","3,902.4 ","15,316.0 ","11,413.6 ","469,583.6 ",,"463,991.3 ","346,870.0 ","117,246.9 ",,"141,339.2 ",,"447,560.8 ",,,
1995/ 1- 3.,"452,027.1 ","252,839.0 ","248,765.9 ","212,922.7 ","31,121.5 ","68,647.7 ","2,253.7 ","74,470.6 ","43,636.1 ",-27.7 ,"-10,500.4 ","39,311.5 ","49,811.9 ","-10,413.4 ",,"18,955.4 ","470,982.5 ","3,954.8 ","15,603.9 ","11,649.0 ","474,937.3 ",,"469,741.2 ","353,519.5 ","116,209.7 ",,"140,428.3 ",,"449,448.6 ",,,
4- 6.,"456,357.0 ","254,971.2 ","250,815.7 ","214,780.0 ","30,381.5 ","71,088.0 ","1,116.7 ","74,611.4 ","45,416.3 ",199.2 ,"-11,409.0 ","39,897.5 ","51,306.4 ","-10,018.3 ",,"19,770.1 ","476,127.1 ","3,171.7 ","14,793.9 ","11,622.2 ","479,298.8 ",,"474,724.8 ","356,528.9 ","118,227.7 ",,"144,021.9 ",,"454,678.2 ",,,
