名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"510,102.9 ","266,582.0 ","262,018.6 ","227,575.3 ","28,673.8 ","80,433.4 ","3,822.2 ","73,546.9 ","46,407.7 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,450.2 ","15,710.1 ","11,259.9 ","514,553.1 ",,"499,048.3 ","379,511.4 ","119,536.9 ",,"155,514.9 ",,"506,698.4 ",,,,,,
4- 6.,"509,036.8 ","269,175.1 ","264,538.7 ","229,723.4 ","29,969.8 ","79,979.9 ","-3,045.2 ","75,112.5 ","47,379.8 ",489.0 ,"9,975.9 ","45,500.0 ","35,524.1 ",,"4,147.3 ","15,649.7 ","11,502.4 ","513,184.1 ",,"499,060.9 ","376,079.6 ","122,981.3 ",,"157,329.5 ",,"511,593.1 ",,,,,,
7- 9.,"512,988.9 ","270,667.3 ","266,001.1 ","230,778.5 ","32,363.1 ","79,430.6 ",-138.1 ,"75,898.3 ","45,544.1 ",656.8 ,"8,566.6 ","45,053.8 ","36,487.2 ",,"4,189.9 ","16,017.4 ","11,827.5 ","517,178.8 ",,"504,422.2 ","382,323.0 ","122,099.3 ",,"157,337.8 ",,"512,470.1 ",,,,,,
10-12.,"511,572.0 ","271,243.2 ","266,524.0 ","230,820.0 ","30,940.0 ","80,298.5 ","-1,605.1 ","76,696.6 ","44,707.9 ",706.3 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,207.3 ","16,562.9 ","12,355.6 ","515,779.3 ",,"502,987.4 ","380,876.7 ","122,110.7 ",,"155,946.4 ",,"512,470.9 ",,,,,,
1995/ 1- 3.,"514,908.4 ","272,728.7 ","267,940.8 ","231,869.0 ","29,884.3 ","82,049.8 ","2,064.8 ","77,678.5 ","42,842.0 ",-147.4 ,"7,807.8 ","45,054.1 ","37,246.3 ",,"4,263.4 ","16,862.2 ","12,598.8 ","519,171.8 ",,"507,100.7 ","386,727.6 ","120,373.0 ",,"154,776.0 ",,"512,991.0 ",,,,,,
4- 6.,"518,785.5 ","274,200.1 ","269,336.9 ","232,925.2 ","28,982.9 ","84,418.3 ",956.1 ,"78,137.1 ","44,468.2 ",220.5 ,"7,402.3 ","44,073.6 ","36,671.3 ",,"3,448.1 ","15,897.1 ","12,449.0 ","522,233.6 ",,"511,383.2 ","388,557.5 ","122,825.7 ",,"157,869.4 ",,"517,608.9 ",,,,,,
