STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2014-08,,106.38641875999998,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2014-11,,103.85340878,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2014-04,,106.44031258,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-02,,98.78738884,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-03,,100.94314201,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2010-04,,94.42198868,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2010-05,,94.90703314,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-12,,104.12287792999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-01,,90.81110213,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-03,,93.45189976,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-05,,96.68552951,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-06,,98.08676906,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-09,,98.57181353,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-11,,91.29614659,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2009-04,,88.49366748,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2009-07,,90.05658852,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2009-08,,91.29614659,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-10,,105.14686068,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-04,,104.55402855999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2010-11,,96.03880355999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2010-12,,96.52384802,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-01,,97.6017246,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-04,,102.50606306,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-06,,102.99110752,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-07,,103.31447048999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-09,,103.20668283,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2011-10,,102.50606306,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-01,,102.99110752,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-02,,103.53004581,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-03,,104.71571005,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-04,,104.93128537,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-05,,104.33845325,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-06,,103.31447048999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-07,,103.04500135,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-08,,104.28455942,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-09,,105.30854217000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-11,,103.79951496,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2012-12,,103.36836432,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-01,,103.79951496,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-02,,105.20075451,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-03,,104.82349770999998,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-05,,104.55402855999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-10,,104.39234708000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2013-11,,103.85340878,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2015-01,,99.70358393999999,,A,Normal value,0,Units,1,One,2015,
