実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,307.3 ","247,535.1 ","243,652.5 ","208,606.2 ","29,812.0 ","66,259.2 ","4,229.0 ","71,357.1 ","47,099.7 ",-542.3 ,"-7,719.9 ","37,756.0 ","45,475.9 ","-11,722.6 ",,"19,378.3 ","465,685.6 ","4,128.4 ","14,534.3 ","10,406.0 ","469,814.0 ",,"462,342.4 ","346,473.5 ","115,942.3 ",,"139,767.4 ",,"442,254.1 ",,,
4- 6.,"443,743.5 ","248,758.1 ","244,819.0 ","209,570.7 ","31,118.5 ","66,065.0 ","-2,884.5 ","72,243.5 ","48,013.6 ",622.8 ,"-8,364.0 ","37,963.9 ","46,327.9 ","-11,829.6 ",,"18,742.3 ","462,485.7 ","3,800.6 ","14,474.0 ","10,673.5 ","466,286.3 ",,"460,004.6 ","341,603.7 ","118,660.1 ",,"141,500.8 ",,"445,539.9 ",,,
7- 9.,"448,944.9 ","250,619.4 ","246,658.2 ","211,193.2 ","33,628.1 ","65,999.2 ",-280.5 ,"72,788.8 ","46,296.0 ",806.2 ,"-9,067.1 ","38,658.4 ","47,725.5 ","-11,845.1 ",,"18,142.6 ","467,087.5 ","3,869.0 ","14,796.2 ","10,927.2 ","470,956.5 ",,"465,725.2 ","348,123.8 ","117,728.9 ",,"142,081.7 ",,"448,141.3 ",,,
10-12.,"447,168.4 ","250,779.9 ","246,774.0 ","211,131.8 ","32,218.2 ","67,028.9 ","-1,601.9 ","72,949.8 ","45,582.2 ",853.3 ,"-9,378.7 ","38,820.6 ","48,199.3 ","-11,263.3 ",,"18,529.5 ","465,697.9 ","3,896.4 ","15,309.1 ","11,412.7 ","469,594.3 ",,"464,005.4 ","346,878.0 ","117,252.9 ",,"141,345.5 ",,"447,579.1 ",,,
1995/ 1- 3.,"452,112.9 ","252,929.0 ","248,856.1 ","213,011.7 ","31,121.5 ","68,647.7 ","2,253.7 ","74,470.2 ","43,635.2 ",-27.7 ,"-10,499.9 ","39,311.7 ","49,811.7 ","-10,416.9 ",,"18,955.0 ","471,067.8 ","3,960.9 ","15,611.2 ","11,650.3 ","475,028.7 ",,"469,827.7 ","353,606.4 ","116,207.9 ",,"140,427.3 ",,"449,535.4 ",,,
4- 6.,"456,276.0 ","254,884.1 ","250,728.5 ","214,694.0 ","30,381.5 ","71,088.0 ","1,116.7 ","74,611.1 ","45,415.7 ",199.2 ,"-11,408.4 ","39,897.7 ","51,306.1 ","-10,011.9 ",,"19,769.5 ","476,045.5 ","3,172.8 ","14,794.4 ","11,621.6 ","479,218.3 ",,"474,634.9 ","356,441.6 ","118,226.1 ",,"144,021.1 ",,"454,598.4 ",,,
