名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"521,932.3 ","265,793.0 ","261,249.4 ","226,797.7 ","31,518.2 ","90,299.4 ","3,744.7 ","73,514.6 ","46,425.4 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,450.5 ","15,710.2 ","11,259.6 ","526,382.8 ",,"510,877.7 ","391,355.3 ","119,522.4 ",,"168,243.1 ",,"518,605.3 ",,,,,,
4- 6.,"519,859.4 ","268,136.3 ","263,480.7 ","228,659.9 ","32,867.2 ","88,965.6 ","-3,053.3 ","75,096.9 ","47,385.4 ",485.4 ,"9,975.9 ","45,500.1 ","35,524.2 ",,"4,147.2 ","15,649.7 ","11,502.6 ","524,006.5 ",,"509,883.5 ","386,915.9 ","122,967.6 ",,"169,218.3 ",,"522,427.3 ",,,,,,
7- 9.,"522,918.9 ","269,655.1 ","265,026.3 ","229,800.4 ","35,305.0 ","87,971.7 ",-627.7 ,"75,839.4 ","45,549.5 ",659.2 ,"8,566.7 ","45,053.8 ","36,487.2 ",,"4,189.9 ","16,017.4 ","11,827.5 ","527,108.7 ",,"514,352.2 ","392,304.1 ","122,048.1 ",,"168,826.2 ",,"522,887.4 ",,,,,,
10-12.,"521,948.4 ","270,279.4 ","265,621.0 ","229,911.2 ","33,848.8 ","88,732.9 ","-1,465.9 ","76,554.6 ","44,706.2 ",707.8 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,207.1 ","16,562.8 ","12,355.8 ","526,155.4 ",,"513,363.7 ","391,395.2 ","121,968.5 ",,"167,287.9 ",,"522,706.5 ",,,,,,
1995/ 1- 3.,"524,171.7 ","271,677.7 ","266,939.2 ","230,856.8 ","32,721.7 ","89,534.6 ","1,984.4 ","77,694.1 ","42,900.9 ",-149.4 ,"7,807.7 ","45,054.0 ","37,246.3 ",,"4,263.8 ","16,862.2 ","12,598.4 ","528,435.5 ",,"516,363.9 ","395,918.3 ","120,445.6 ",,"165,157.1 ",,"522,336.7 ",,,,,,
4- 6.,"527,601.4 ","273,161.6 ","268,332.3 ","231,911.2 ","31,841.8 ","91,525.2 ",996.9 ,"77,970.1 ","44,484.6 ",219.0 ,"7,402.3 ","44,073.6 ","36,671.3 ",,"3,448.0 ","15,897.1 ","12,449.1 ","531,049.4 ",,"520,199.2 ","397,525.5 ","122,673.7 ",,"167,851.6 ",,"526,385.6 ",,,,,,
