設定,全変数MAE,GDP_MAE,GDP_最大誤差,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
CPだけ有効,0.04821639855956588,0.011363945397620881,0.03339994810746111,0.06623541134038648,0.06404879003467742,0.0636359144659926,0.032950604384706,0.09750615557327971,0.03453473467316016,0.0771476798673475,0.016936438667213477,0.023947463723052714,0.028680486973093125,0.02450334030627099
YICVだけ有効,0.054526465712840595,0.023727294003549504,0.10741245116610204,0.07561603370738736,0.07602331407336005,0.07228682921138625,0.06738386060525514,0.10215906292741522,0.03539508709694109,0.06793369031586145,0.015713025532651106,0.024308633394259177,0.03499328898660669,0.027624012200939664
PCPATだけ有効,0.05528338769573873,0.02456783351664037,0.10777649790828153,0.07569682298848247,0.07451329777668617,0.07197138171891898,0.06712882698531265,0.10172830355306249,0.036116597575233216,0.0794180486581274,0.017141488669718773,0.0294179111421238,0.027476121949657633,0.027153523078015246
全固定,0.05622624322699161,0.02442006343182114,0.10764321793704429,0.07682069209850541,0.07576168823368737,0.07307189582812887,0.06754380672772638,0.10201589924603537,0.03588482317864562,0.07898132719589758,0.017048525466641453,0.027959756711761978,0.03577612564215739,0.02724744220386206
CGPIATだけ有効,0.056618222644688194,0.024440328851841844,0.10766525227149576,0.07684127638215608,0.07575455469834362,0.07304261370070321,0.06757092856653604,0.10204123635236824,0.035882254178519854,0.07941880622772336,0.017105280563727895,0.02985911407633727,0.03763495353583327,0.02726543139328117
FUELだけ有効,0.057825977539530025,0.030959854080855942,0.11331040147471078,0.07878017157410415,0.07873214557147985,0.0745349053529811,0.06873246992096885,0.10372149783139013,0.03504924320649674,0.0784954666980053,0.016863009095851953,0.027594426843793006,0.04532170151610031,0.02783892394712136
PLANDだけ有効,0.05829032341140382,0.024395951917243617,0.10755498324450302,0.07847838753487144,0.07878981230093327,0.07468044265019495,0.06786345020620958,0.10258676942125161,0.03619323407399739,0.08857879236806254,0.01873740498607182,0.02930965050401908,0.03661100355539102,0.028955404566339157
PFUELATだけ有効,0.05859059702456871,0.023722858439512703,0.10764763055021914,0.07681082531594577,0.0757625488454918,0.07306276698395044,0.06754272336462967,0.10201186384673332,0.03588503849289111,0.07893699211760304,0.017051121927533906,0.027531499741354746,0.06223748016376476,0.027243233164215085
PIFPATだけ有効,0.058985576445500065,0.02433152270440028,0.10809636148284202,0.08186675119903605,0.0804545796156632,0.07728755853708208,0.06846316392016288,0.10389727930370715,0.03478901353665286,0.07826926905749115,0.016915809988521723,0.041138891600677456,0.035863077742455,0.029447861900739117
YWVだけ有効,0.05913638468054299,0.022223153478453495,0.10500833215920852,0.08345132235161302,0.08428759995699583,0.07894569033342175,0.0695167166396518,0.10107652307229745,0.03798814567699353,0.0822193618589056,0.017912222495025613,0.03122469927404141,0.03528797781465729,0.02819833795674825
PNFMGSATだけ有効,0.06019220861449489,0.024165048280189907,0.10764631996820956,0.0765991341284549,0.07578043060248107,0.07286981322838619,0.06754540197795351,0.10190640117806002,0.03589423313914068,0.07950609032651833,0.017309839608934237,0.07124971160242684,0.0358814309307474,0.027121845527537745
PXGSだけ有効,0.06028201123472532,0.024129040701773248,0.10753802122170558,0.0778766372765296,0.07663635616144066,0.07392596480214574,0.06743361172567358,0.10223947140986928,0.03629655114695062,0.07900323753205712,0.017039990725687248,0.054027565862014286,0.0504330050743325,0.027745556678467224
LHXだけ有効,0.06143784230384276,0.025838912238587676,0.1091021337750761,0.09204970739635028,0.09086964475198409,0.0878143390985794,0.0676588103361164,0.10613246858063996,0.03618451436210317,0.07778988703646432,0.0171527217427548,0.030691564025252534,0.0362097033183058,0.0327952504725763
XGSだけ有効,0.0626327281148201,0.034579211179927384,0.10827212361126021,0.07739935238094477,0.0757250456188605,0.07361168429832791,0.06769445043031869,0.10231329518225778,0.03589398629043511,0.08393530722652058,0.018010519468984625,0.06707436661095556,0.035929081715482945,0.050877758154295814
IHPだけ有効,0.06957585116868556,0.00911697001378797,0.05882431325287668,0.09600811934614649,0.09344547907467267,0.09236861380476519,0.10284690003639745,0.10816721337818601,0.058112859808648304,0.08252262727750294,0.016963097566111328,0.034225825352286694,0.04583045868319762,0.03463089090984807
