frozen_one,MAE,within_0.1
IHP,0.0486589972745347,0.883080382237212
XGS,0.06257364002406787,0.8735244519392917
PNFMGSAT,0.06544016477746556,0.8594716132658797
LHX,0.06583295837217165,0.865654862282181
PFUELAT,0.06587488359476484,0.8544125913434514
PLAND,0.06603208645669466,0.8594716132658797
PIFPAT,0.0673130143739907,0.8560989319842608
CGPIAT,0.06807198827714186,0.852726250702642
CP,0.068417757060765,0.8600337268128162
FUEL,0.06867348503846991,0.8622821810005621
PCPAT,0.06872180809618512,0.8510399100618324
YWV,0.06883312126487771,0.8617200674536256
PXGS,0.06939251761651123,0.8499156829679595
YICV,0.07165052720718415,0.83867341202923
