step,frozen,MAE,within_0.1
0,,0.06831967887234709,0.851602023608769
1,IHP,0.0486589972745347,0.883080382237212
2,XGS,0.04251860114949176,0.907813378302417
3,LHX,0.03826758487935972,0.9224283305227656
4,FUEL,0.035397377002033076,0.9280494659921305
5,PFUELAT,0.03260918211375338,0.9314221472737493
6,PLAND,0.030278893543000746,0.9387296233839235
7,PXGS,0.02898805591218072,0.93929173693086
8,PNFMGSAT,0.02540572055183744,0.9527824620573356
9,PIFPAT,0.023825305054175034,0.9578414839797639
10,CGPIAT,0.02344916988981569,0.9600899381675099
11,YWV,0.02329610195448133,0.9617762788083193
