variant,description,within_0.1,MAE_all,MAE_GDP,max_err_GDP,worse_vars,better_vars
既定,model.py の既定（式129 DLOG型、誤差修正項は CP・YICV・PCPAT のみ有効）,0.9606520517144463,0.023503741746694454,0.009761450961797164,0.040817901199667495,,
式129 印刷どおり,所得実効税率を印刷どおりの水準式にする（Issue #2）,0.9505340078695896,0.02595353883284963,0.00866227469759074,0.042041427693174815,"TYPV(+0.12), TAXV(+0.02)","YDV(-0.01), MGSV(-0.01)"
誤差修正項 全有効,14本の誤差修正項をすべて動かす（印刷どおり）,0.850477796514896,0.06850624397809112,0.024535432397436257,0.11164704629738326,"IHP(+0.52), IHPV(+0.51), PLAND(+0.12)",YWV(-0.01)
印刷どおり（誤植修正のみ）,式129 水準式 + 誤差修正項 全有効 + 式9 FXS2011,0.8403597526700394,0.0718658164020458,0.024598628109196597,0.11377505847048036,"IHP(+0.53), IHPV(+0.52), TYPV(+0.12)",YWV(-0.01)
式9 FXS2011,誤差修正項の相対価格に FXS2011（印刷どおり）,0.9606520517144463,0.02350374174669764,0.009761450961801874,0.04081790119970635,,
式47 WPHX=WIPH,未定義変数 WPHX を WIPH と読む,0.9584035975267003,0.02349959201573289,0.009766328349935021,0.040684696647409646,WIPH(+0.01),UCC(-0.01)
式57 定数 +0.000488,印刷の '--0.000488' を正の定数と読む,0.9606520517144463,0.023503741746694454,0.009761450961797164,0.040817901199667495,,
式59 括弧を字義どおり,PIFPATGR = (PIFPAT − 1)×100 と読む,0.955593029792018,0.03708980343869015,0.009372508298185736,0.041185653890231266,UCC(+0.73),
式116 ×400,インフレ率の変化を年率（×400）で入れる,0.8302417088251827,0.07853917988015083,0.015272027117498973,0.056752846121184836,"YCV(+0.48), FXS(+0.35), UCC(+0.26)",
式134 印刷どおり,消費税の課税ベースに '1+RTCI+PRTIF' を使う,0.9584035975267003,0.023902017973504386,0.009811304655910867,0.039987601077680235,TCIV(+0.03),
