period,paper,repro,model_check,UCCDB,UCCDE,contrib_TT,contrib_PERR,contrib_RGB,contrib_RCD,contrib_PIFPAT,contrib_PIFPATSUM,contrib_PGDPAT,contrib_RRFP,dTT,dETT,PERR_base,PERR_shock
2018Q1,-0.3,0.41699,0.41699,-1.20783,2.455007,-1.202172,1.6657,0.014914,0.021087,0.021188,-0.084769,0.000556,0.0,-0.065661,-0.076316,24.519827,21.915221
2018Q2,-0.32,0.588382,0.588382,-1.224362,2.853108,-1.130969,1.875628,0.038742,0.057679,0.049754,-0.283396,-0.000257,0.0,-0.062447,-0.078899,24.07911,21.273335
2018Q3,-0.61,0.58055,0.58055,-1.334656,2.949351,-1.144382,2.021042,0.070414,0.108028,0.083471,-0.534284,-0.005404,0.0,-0.061572,-0.077377,22.965637,20.232106
2018Q4,-0.29,0.581556,0.581556,-1.425594,3.098272,-1.125302,2.165693,0.110338,0.171387,0.122901,-0.828829,-0.01769,0.0,-0.061224,-0.077705,23.129305,20.189693
2019Q1,-0.28,0.674227,0.674227,-1.470216,3.408962,-1.12292,2.362694,0.141224,0.226734,0.145989,-1.023406,-0.039567,0.0,-0.062942,-0.083193,24.870224,21.329773
2019Q2,-0.08,0.716045,0.716045,-1.377525,3.50908,-1.174662,2.386014,0.161781,0.261287,0.169212,-1.00072,-0.068799,0.0,-0.066129,-0.085687,25.832345,21.980512
2019Q3,-0.11,0.779947,0.779947,-1.198347,3.588699,-1.163532,2.333555,0.174538,0.280572,0.191056,-0.915549,-0.101913,0.0,-0.065444,-0.087928,27.830579,23.446655
2019Q4,-0.44,0.809372,0.809372,-0.975482,3.529536,-1.126626,2.184735,0.177122,0.282749,0.206012,-0.760159,-0.13571,0.0,-0.063181,-0.088403,30.408345,25.490958
2020Q1,0.28,0.981593,0.981593,-0.792442,3.832183,-1.085063,2.207269,0.178013,0.279102,0.222587,-0.633006,-0.167188,0.0,-0.060649,-0.092404,32.704054,27.01605
2020Q2,-0.92,0.496312,0.496312,-0.722374,2.717086,-1.072752,1.659434,0.171357,0.25873,0.23262,-0.540452,-0.195907,0.0,-0.059905,-0.08601,37.989355,31.978215
2020Q3,-0.91,0.487527,0.487527,-0.728817,2.891426,-1.1404,1.667124,0.163105,0.236564,0.242848,-0.44085,-0.221251,0.0,-0.063298,-0.109927,52.373559,41.517776
2020Q4,-0.69,0.72026,0.72026,-0.700022,3.561944,-1.148409,1.881502,0.159062,0.220416,0.25139,-0.377764,-0.242593,0.0,-0.063693,-0.129386,64.45094,47.472137
