case,2018,2019,2020
論文,-0.38,-0.23,-0.56
REQU=0.00,-1.3037,-1.3409,-0.9411
REQU=0.10,-0.8141,-0.7932,-0.535
REQU=0.15,-0.5767,-0.5262,-0.3327
REQU=0.20,-0.344,-0.2636,-0.1309
REQU=0.30,0.1076,0.2488,0.2712
REQU=0.40,0.5419,0.7449,0.6714
REQU=0.50,0.9597,1.2254,1.0698
ROR=0.0,0.4384,0.6321,0.5652
ROR=2.0,0.5419,0.7449,0.6714
ROR=4.0,0.6606,0.8746,0.7931
SLRATIO=0.0,0.5614,0.8222,0.7394
SLRATIO=0.5,0.5419,0.7449,0.6714
SLRATIO=2.0,0.5223,0.6676,0.6035
TINCR=0.00,0.5419,0.7449,0.6714
TINCR=0.05,1.0684,1.2916,1.1975
RRFP×0.5,2.114,2.4117,2.2022
RRFP×1.0,0.5419,0.7449,0.6714
RRFP×2.0,-0.2583,-0.111,-0.1474
PERR水準×0.5,2.0065,2.5792,2.2529
PERR水準×1.0,0.5419,0.7449,0.6714
PERR水準×2.0,-0.3629,-0.3626,-0.2157
TTを動かさない(ETTのみ),1.7126,1.9131,1.8048
