,food,food,food,food,food,ctax,ctax,ctax,ctax,ctax,benefit,benefit,benefit,benefit,benefit,target,target,target,target,target,scale,scale,scale,scale
,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,loss_bn,loss_all_bn,target_bn,loss_pct_gdp
2021Q3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03363862,-0.00621761,-0.00003864,0.00003977,-0.00023973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2021Q4,-0.62819753,-0.11539698,-1.52072338,0.00004573,-0.00461288,-0.43903873,-0.08439122,-0.94195371,-0.00019739,-0.00331839,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2022Q1,0.66211367,-0.57893855,1.21779379,-1.05108629,0.00234037,0.46412115,-0.45665182,0.73137922,-0.64706361,-0.14943698,0.00775703,-0.56804553,0.00002053,-0.00002115,0.00005081,0.00775703,-0.56804553,0.00002053,-0.00002115,0.00005081,3298.99712709,3305.41043500,3244.61213966,0.56955640
2022Q2,0.12716868,-0.56761929,0.69351527,-1.05610952,-0.00048393,0.14447845,-0.43983311,0.42000185,-0.65128517,-0.14973378,0.09837677,-0.55108593,0.22371859,-0.00019821,0.00067451,0.20067667,-0.53445823,0.47683639,-0.00044347,0.00135622,3312.26541005,3301.12941904,3323.24306043,0.56813086
2022Q3,0.34104969,-0.55127839,1.08734061,-1.05690022,0.00084792,0.28682572,-0.41265262,0.68159360,-0.65191135,-0.15146048,0.19045404,-0.52763509,0.51326891,0.00024540,0.00157318,0.39032269,-0.48224304,1.09457790,0.00033430,0.00319096,3328.98296555,3334.00332127,3353.53688368,0.57199924
2022Q4,0.25536820,-0.52151253,1.01510707,-1.05030029,0.00046161,0.23867687,-0.37250323,0.64593735,-0.64622796,-0.15058039,0.17018096,-0.51068135,0.55228077,0.00306469,0.00213111,0.34562653,-0.45075846,1.17522023,0.00596204,0.00429403,3383.23356081,3382.93588820,3402.08697974,0.56940383
2023Q1,0.27110808,-0.48084968,1.02948136,-1.03441566,0.00327041,0.25330806,-0.33033945,0.66327144,-0.63295641,-0.14826617,0.17512194,-0.50554825,0.57030654,0.00904309,0.00324808,0.35540046,-0.43195089,1.21114945,0.01807013,0.00653855,3501.12662129,3514.10960137,3406.38077337,0.57760403
2023Q2,0.27124714,-0.48861234,1.04461101,-1.01749181,0.00648529,0.25918818,-0.31937205,0.67846534,-0.61803342,-0.14008429,0.18447515,-0.46729408,0.60201149,0.01797802,0.00481120,0.37529256,-0.39137649,1.27759789,0.03627801,0.00971686,3343.56191000,3349.26648619,3396.54723999,0.54141131
2023Q3,0.25249937,-0.49397705,1.03482801,-0.99995862,0.01035162,0.24827874,-0.32880463,0.67467074,-0.60219365,-0.13746963,0.18587712,-0.47000985,0.63419527,0.02875946,0.00698918,0.37838407,-0.39385783,1.34560422,0.05826603,0.01415626,3366.80876033,3379.95289087,3406.85572353,0.54454945
2023Q4,0.23850590,-0.49409022,1.04331538,-0.98246209,0.01407124,0.24050171,-0.33077940,0.68224585,-0.58594622,-0.13284875,0.17506006,-0.46754487,0.64390381,0.04023578,0.00932807,0.35581370,-0.39751237,1.36565958,0.08165067,0.01891938,3351.63514867,3373.64598182,3429.28163124,0.53664818
2024Q1,0.24062635,-0.49908203,1.03919452,-0.96480796,0.01819017,0.24360026,-0.33661069,0.68418781,-0.56926502,-0.12936245,0.18205615,-0.47232150,0.66104677,0.05205776,0.01198187,0.37141331,-0.40245444,1.40209012,0.10573235,0.02433279,3364.83858729,3381.43100573,3515.96940663,0.54103729
2024Q2,0.22442672,-0.53440642,1.04824633,-0.94725560,0.02243468,0.23348229,-0.37759023,0.69250012,-0.55240355,-0.12746624,0.17565172,-0.49440890,0.68197501,0.06423969,0.01489983,0.35819052,-0.42807100,1.44668333,0.13057045,0.03027853,3546.94486932,3599.85777087,3541.17412970,0.55975989
2024Q3,0.20971909,-0.53003414,1.04922146,-0.92971344,0.02646276,0.22625934,-0.36874959,0.69773075,-0.53533317,-0.12273779,0.16992868,-0.49767259,0.69795071,0.07668621,0.01769365,0.34558773,-0.43210929,1.47989490,0.15597448,0.03597057,3608.71360408,3659.63846765,3584.40869415,0.56198088
2024Q4,0.21079107,-0.52099587,1.05381982,-0.91248758,0.03034071,0.22786722,-0.36280823,0.70293932,-0.51833162,-0.11802369,0.17527089,-0.49424069,0.71844913,0.08923942,0.02049959,0.35661228,-0.43119281,1.52242646,0.18161374,0.04169717,3616.92131873,3661.84396647,3609.67058758,0.55690044
