,food,food,food,food,food,ctax,ctax,ctax,ctax,ctax,benefit,benefit,benefit,benefit,benefit,target,target,target,target,target,scale,scale,scale,scale
,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,loss_bn,loss_all_bn,target_bn,loss_pct_gdp
2021Q3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03363862,-0.00621761,-0.00003864,0.00003977,-0.00023973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2021Q4,-0.62819753,-0.11539698,-1.52072338,0.00004573,-0.00461288,-0.43903873,-0.08439122,-0.94195371,-0.00019739,-0.00331839,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2022Q1,0.66211367,-0.57893855,1.21779379,-1.05108629,0.00234037,0.46412115,-0.45665182,0.73137922,-0.64706361,-0.14943698,0.00775703,-0.56804553,0.00002053,-0.00002115,0.00005081,0.00775703,-0.56804553,0.00002053,-0.00002115,0.00005081,3298.99712709,3305.41043500,3244.61213966,0.56955640
2022Q2,0.12716868,-0.56761929,0.69351527,-1.05610952,-0.00048393,0.14447845,-0.43983311,0.42000185,-0.65128517,-0.14973378,0.09837677,-0.55108593,0.22371859,-0.00019821,0.00067451,0.20067667,-0.53445823,0.47683639,-0.00044347,0.00135622,3312.26541005,3301.12941904,3323.24306043,0.56813086
2022Q3,0.34104969,-0.55127839,1.08734061,-1.05690022,0.00084792,0.28682572,-0.41265262,0.68159360,-0.65191135,-0.15146048,0.19045404,-0.52763509,0.51326891,0.00024540,0.00157318,0.39032269,-0.48224304,1.09457790,0.00033430,0.00319096,3328.98296555,3334.00332127,3353.53688368,0.57199924
2022Q4,0.25536820,-0.52151253,1.01510707,-1.05030029,0.00046161,0.23867687,-0.37250323,0.64593735,-0.64622796,-0.15058039,0.17018096,-0.51068135,0.55228077,0.00306469,0.00213111,0.34562653,-0.45075846,1.17522023,0.00596204,0.00429403,3383.23356081,3382.93588820,3402.08697974,0.56940383
2023Q1,0.27110808,-0.48084968,1.02948136,-1.03441566,0.00327041,0.25330806,-0.33033945,0.66327144,-0.63295641,-0.14826617,0.17512194,-0.50554825,0.57030654,0.00904309,0.00324808,0.35540046,-0.43195089,1.21114945,0.01807013,0.00653855,3501.12662129,3514.10960137,3406.38077337,0.57760403
2023Q2,0.27124714,-0.48861234,1.04461101,-1.01749181,0.00648529,0.25918818,-0.31937205,0.67846534,-0.61803342,-0.14008429,0.18447515,-0.46729408,0.60201149,0.01797802,0.00481120,0.37529256,-0.39137649,1.27759789,0.03627801,0.00971686,3343.56191000,3349.26648619,3396.54723999,0.54141131
2023Q3,0.25249937,-0.49397705,1.03482801,-0.99995862,0.01035162,0.28289280,-0.32391554,0.67475981,-0.60228424,-0.13724421,0.18587712,-0.47000985,0.63419527,0.02875946,0.00698918,0.37838407,-0.39385783,1.34560422,0.05826603,0.01415626,3366.80876033,3379.95289087,3406.85572353,0.54454945
2023Q4,0.84269420,-0.41465234,2.60496516,-0.98383760,0.01816020,0.66324033,-0.26935756,1.64082443,-0.58674785,-0.12992527,0.17506006,-0.46754487,0.64390381,0.04023578,0.00932807,0.35581370,-0.39751237,1.36565958,0.08165067,0.01891938,3351.63514867,3373.64598182,3429.28163124,0.53664818
2024Q1,-0.42189049,0.05053016,-0.18025546,0.08509794,0.01542496,-0.22240110,0.08790642,-0.04861823,0.07681488,0.01482211,0.17415374,0.06655407,0.66102640,0.05207861,0.01193098,0.36351919,0.13532880,1.40206964,0.10575318,0.02428190,0.00000000,0.00000000,3515.96940663,0.00000000
2024Q2,0.10280618,0.02637066,0.35907001,0.10767463,0.02238010,0.09046731,0.06733130,0.27647769,0.09794148,0.02050812,0.07918385,0.04940485,0.45252678,0.06441851,0.01422904,0.16115302,0.10038899,0.95610869,0.13097597,0.02892575,0.00000000,0.00000000,3541.17412970,0.00000000
2024Q3,-0.12462001,0.00227766,-0.01867816,0.12585803,0.02499514,-0.05922416,0.04261930,0.02611613,0.11555332,0.02344029,-0.01172095,0.02697653,0.18614882,0.07637053,0.01615161,-0.02494175,0.05489269,0.38799635,0.15549516,0.03284799,0.00000000,0.00000000,3584.40869415,0.00000000
2024Q4,-0.05337521,-0.03138100,0.04878196,0.13635986,0.02919046,-0.02042104,0.00269333,0.05868098,0.12681526,0.02725455,0.01319454,0.01295581,0.17281816,0.08612401,0.01844665,0.02880113,0.02614739,0.36062634,0.17554952,0.03756368,0.00000000,0.00000000,3609.67058758,0.00000000
