,food,food,food,food,food,ctax,ctax,ctax,ctax,ctax,benefit,benefit,benefit,benefit,benefit,target,target,target,target,target,scale,scale,scale,scale
,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,loss_bn,loss_all_bn,target_bn,loss_pct_gdp
2021Q3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04291121,-0.00793404,-0.00003864,0.00003974,-0.00030651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2021Q4,-0.80439247,-0.14801302,-1.94727846,0.00004741,-0.00590659,-0.55954336,-0.10769682,-1.20043644,-0.00026904,-0.00423178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2022Q1,0.85116610,-0.74496707,1.56563979,-1.34881509,0.00301620,0.59294658,-0.58494085,0.93443193,-0.82573842,-0.19070212,0.00997188,-0.73109128,0.00002639,-0.00002719,0.00006532,0.00997188,-0.73109128,0.00002639,-0.00002719,0.00006532,4246.00069733,4231.65241431,4400.00000000,0.73305213
2022Q2,0.16320681,-0.73063629,0.89170938,-1.35521863,-0.00061407,0.18458242,-0.56361079,0.53688693,-0.83110717,-0.19107904,0.12647496,-0.70911024,0.28762016,-0.00025480,0.00086719,0.25769416,-0.68758849,0.61228537,-0.00056933,0.00174169,4263.12020436,4226.15891938,4400.00000000,0.73122466
2022Q3,0.43842124,-0.71002954,1.39877579,-1.35619837,0.00110337,0.36662721,-0.52889673,0.87166283,-0.83189390,-0.19327963,0.24489911,-0.67880035,0.66009028,0.00031536,0.00202302,0.50142058,-0.62024055,1.40646763,0.00042905,0.00409980,4284.59863496,4268.23693729,4400.00000000,0.73619697
2022Q4,0.32793121,-0.67189491,1.30571242,-1.34771936,0.00061157,0.30496944,-0.47755282,0.82607353,-0.82464278,-0.19215434,0.21873684,-0.65707421,0.71021563,0.00393978,0.00273987,0.44359187,-0.57997937,1.50989518,0.00765566,0.00551437,4354.43513569,4330.88224016,4400.00000000,0.73285867
2023Q1,0.34823299,-0.61979440,1.32424804,-1.32736880,0.00422417,0.32368269,-0.42366167,0.84820031,-0.80772664,-0.18920195,0.22508299,-0.65046233,0.73338199,0.01162482,0.00417561,0.45612614,-0.55584194,1.55601012,0.02320029,0.00839562,4506.13984044,4498.80519003,4400.00000000,0.74340771
2023Q2,0.34840322,-0.62972833,1.34368478,-1.30569408,0.00835440,0.33125007,-0.40954544,0.86761028,-0.78870489,-0.17876336,0.23710072,-0.60122627,0.77413595,0.02310951,0.00618474,0.48163702,-0.50363704,1.64130993,0.04657189,0.01247501,4303.36129613,4287.77150847,4400.00000000,0.69682828
2023Q3,0.32433774,-0.63665070,1.33116497,-1.28323874,0.01332204,0.31736134,-0.42159732,0.86279748,-0.76851131,-0.17542924,0.23888827,-0.60471271,0.81551481,0.03696672,0.00898415,0.48554091,-0.50683376,1.72864826,0.07479161,0.01817297,4333.26411034,4327.05184494,4400.00000000,0.70086446
2023Q4,0.30637319,-0.63681136,1.34212243,-1.26083034,0.01810046,0.30746319,-0.42409152,0.87249859,-0.74779528,-0.16953485,0.22497613,-0.60154125,0.82801509,0.05171595,0.01199019,0.45653082,-0.51152785,1.75448017,0.10479902,0.02428551,4313.71455183,4318.96350301,4400.00000000,0.69069185
2024Q1,0.30915246,-0.64322090,1.33684053,-1.23821877,0.02339243,0.31147388,-0.43152421,0.87500761,-0.72652264,-0.16508785,0.23397909,-0.60765673,0.85006673,0.06690893,0.01540097,0.47659867,-0.51781358,1.80131475,0.13569870,0.03123267,4330.72092079,4328.93022394,4400.00000000,0.69634291
2024Q2,0.28834080,-0.68873541,1.34852554,-1.21573478,0.02884580,0.29856270,-0.48398760,0.88566748,-0.70501563,-0.16266977,0.22573481,-0.63604736,0.87698415,0.08256453,0.01915106,0.45957018,-0.55069754,1.85862232,0.16756890,0.03886207,4565.01917660,4608.55169468,4400.00000000,0.72042694
2024Q3,0.26944364,-0.68309611,1.34983589,-1.19326072,0.03402131,0.28934779,-0.47264368,0.89240816,-0.68323779,-0.15663629,0.21836807,-0.64022650,0.89753279,0.09856040,0.02274156,0.44334975,-0.55584417,1.90131603,0.20016603,0.04616565,4644.52401477,4685.08279904,4400.00000000,0.72328647
2024Q4,0.27086131,-0.67142954,1.35581323,-1.17118909,0.03900476,0.29142574,-0.46500330,0.89910800,-0.66154426,-0.15062039,0.22523813,-0.63577821,0.92389667,0.11469362,0.02634775,0.45752072,-0.55458337,1.95598528,0.23306587,0.05351410,4655.10141675,4687.91272475,4400.00000000,0.71674991
