,food,food,food,food,food,ctax,ctax,ctax,ctax,ctax,benefit,benefit,benefit,benefit,benefit,target,target,target,target,target,scale,scale,scale,scale
,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,GDP,BGV,CP,PCP,GOVV,loss_bn,loss_all_bn,target_bn,loss_pct_gdp
2021Q3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04377962,-0.00809481,-0.00003863,0.00003974,-0.00031276,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2021Q4,-0.81397772,-0.14979052,-1.97048522,0.00004750,-0.00597696,-0.57082637,-0.10988173,-1.22464113,-0.00027575,-0.00431729,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000
2022Q1,0.86148150,-0.75755589,1.58465118,-1.36505702,0.00304605,0.60504457,-0.59702112,0.95349602,-0.84249350,-0.19457173,0.01014251,-0.74366827,0.00002685,-0.00002766,0.00006643,0.01014251,-0.74366827,0.00002685,-0.00002766,0.00006643,4319.05219936,4318.82579820,4400.00000000,0.74566413
2022Q2,0.16550361,-0.74278547,0.90340780,-1.37154240,-0.00062661,0.18835133,-0.57527020,0.54786757,-0.84796943,-0.19495611,0.12863984,-0.72129708,0.29254365,-0.00025916,0.00088203,0.26208175,-0.69939560,0.62270779,-0.00057901,0.00177136,4336.46967093,4313.21790339,4400.00000000,0.74380581
2022Q3,0.44437884,-0.72166506,1.41774681,-1.37254667,0.00111291,0.37412882,-0.53984800,0.88952924,-0.84877093,-0.19720107,0.24909482,-0.69045572,0.67140653,0.00032075,0.00205769,0.50997336,-0.63087766,1.43048444,0.00043633,0.00416978,4358.31456303,4356.16199357,4400.00000000,0.74886314
2022Q4,0.33242505,-0.68281957,1.32360259,-1.36398538,0.00061447,0.31119954,-0.48745148,0.84300721,-0.84137274,-0.19605272,0.22247699,-0.66836319,0.72238762,0.00400720,0.00278677,0.45112614,-0.58994428,1.53566308,0.00778598,0.00560829,4429.35362148,4420.09789093,4400.00000000,0.74546757
2023Q1,0.35296771,-0.62988310,1.34235297,-1.34341272,0.00426807,0.33029640,-0.43245847,0.86558446,-0.82411515,-0.19304048,0.22893129,-0.66163712,0.74594989,0.01182371,0.00424707,0.46387251,-0.56539694,1.58256144,0.02359499,0.00853851,4583.66591000,4591.47931521,4400.00000000,0.75619770
2023Q2,0.35318495,-0.63977945,1.36205871,-1.32149335,0.00844692,0.33802268,-0.41804472,0.88539081,-0.80470936,-0.18239031,0.24115418,-0.61155393,0.78740094,0.02350481,0.00629055,0.48981518,-0.51229517,1.66931140,0.04736378,0.01268720,4377.39992782,4376.09844294,4400.00000000,0.70881710
2023Q3,0.32886665,-0.64683439,1.34946670,-1.29877880,0.01347377,0.36924862,-0.42395618,0.88060027,-0.78422617,-0.17869339,0.24297117,-0.61509964,0.82948831,0.03759894,0.00913783,0.49378038,-0.51554713,1.75813756,0.07606274,0.01848196,4407.81582259,4416.18748635,4400.00000000,0.71292249
2023Q4,1.09903288,-0.54554291,3.39979456,-1.27789703,0.02364922,0.86621599,-0.35321814,2.14287969,-0.76401644,-0.16915761,0.22882046,-0.61187370,0.84220403,0.05260025,0.01219526,0.46427423,-0.52032123,1.78441541,0.10657940,0.02469828,4387.92828479,4407.93116940,4400.00000000,0.70257460
2024Q1,-0.54792768,0.06694797,-0.23027400,0.11065451,0.02008271,-0.28973546,0.11509016,-0.06200125,0.10014233,0.01933322,0.22764441,0.08696844,0.86460740,0.06808012,0.01559778,0.47436691,0.17649138,1.83202469,0.13803053,0.03169681,0.00000000,0.00000000,4400.00000000,0.00000000
2024Q2,0.13408579,0.03509047,0.46917052,0.14004066,0.02912759,0.11799880,0.08801503,0.36101902,0.12770667,0.02674683,0.10341699,0.06456323,0.59174309,0.08420991,0.01860080,0.20989652,0.13094468,1.24860532,0.17094412,0.03775301,0.00000000,0.00000000,4400.00000000,0.00000000
2024Q3,-0.16197775,0.00358811,-0.02337953,0.16372960,0.03252822,-0.07718959,0.05576397,0.03434724,0.15069507,0.03057133,-0.01534672,0.03524890,0.24339598,0.09983234,0.02111355,-0.03268441,0.07158392,0.50656129,0.20293762,0.04286989,0.00000000,0.00000000,4400.00000000,0.00000000
2024Q4,-0.06913975,-0.04044299,0.06445847,0.17743199,0.03799283,-0.02656108,0.00360446,0.07681840,0.16540198,0.03554945,0.01726351,0.01692370,0.22598391,0.11258042,0.02411345,0.03763248,0.03407857,0.47090037,0.22910195,0.04902335,0.00000000,0.00000000,4400.00000000,0.00000000
