scenario,variable,year,value_repro,value_paper,diff
1,BCVATGDPV,2018,-0.12129113432698058,-0.12,-0.0012911343269805808
1,BCVATGDPV,2019,-0.2675801856400575,-0.26,-0.0075801856400574685
1,BCVATGDPV,2020,-0.4177588667472663,-0.4,-0.01775886674726629
1,BGVATGDPV,2018,-0.46629317516159774,-0.47,0.003706824838402234
1,BGVATGDPV,2019,-0.34066604294066316,-0.34,-0.0006660429406631363
1,BGVATGDPV,2020,-0.3753029804770286,-0.28,-0.09530298047702856
1,CG,2018,0.04552165809302844,0.04,0.005521658093028438
1,CG,2019,0.1629621421701477,0.16,0.0029621421701477024
1,CG,2020,0.27195776918074177,0.26,0.011957769180741762
1,CGPI,2018,0.04135137768053465,0.04,0.0013513776805346503
1,CGPI,2019,0.1783435500240349,0.17,0.00834355002403489
1,CGPI,2020,0.34944830776987845,0.33,0.019448307769878437
1,CGV,2018,0.05234419368804755,0.05,0.002344193688047544
1,CGV,2019,0.29634304485289253,0.28,0.016343044852892508
1,CGV,2020,0.63974764916091,0.61,0.029747649160909995
1,CP,2018,0.24433853592703558,0.25,-0.005661464072964417
1,CP,2019,0.5139733737621388,0.53,-0.01602662623786122
1,CP,2020,0.49152998014490024,0.53,-0.03847001985509979
1,CPV,2018,0.2665511192872755,0.27,-0.0034488807127245336
1,CPV,2019,0.7397073888666617,0.76,-0.020292611133338356
1,CPV,2020,1.0017291303150044,1.04,-0.0382708696849956
1,CUX,2018,1.965462272447377,2.0,-0.034537727552623076
1,CUX,2019,2.0194507680349085,2.01,0.00945076803490874
1,CUX,2020,2.087077955758981,1.85,0.23707795575898105
1,FXS,2018,-0.05748062829812883,-0.06,0.0025193717018711648
1,FXS,2019,-0.24540753101584267,-0.24,-0.0054075310158426815
1,FXS,2020,-0.4910958468564486,-0.49,-0.0010958468564485901
1,GDP,2018,1.079537969793437,1.08,-0.0004620302065629911
1,GDP,2019,1.0960817249303756,1.11,-0.013918275069624508
1,GDP,2020,1.0242311090634504,1.04,-0.01576889093654965
1,GDPD,2018,1.1277376040721272,1.14,-0.012262395927872705
1,GDPD,2019,-0.0648276758494136,-0.06,-0.0048276758494135985
1,GDPD,2020,-0.05767042793323379,-0.06,0.0023295720667662057
1,GDPGAP,2018,0.9787979540088005,0.96,0.018797954008800577
1,GDPGAP,2019,0.9997860680845984,0.99,0.009786068084598365
1,GDPGAP,2020,0.9567318728726892,0.96,-0.003268127127310727
1,GDPPOT,2018,0.11511903472743445,0.12,-0.004880965272565541
1,GDPPOT,2019,0.10144033696969368,0.12,-0.018559663030306317
1,GDPPOT,2020,0.025535643929372465,0.05,-0.024464356070627538
1,GDPV,2018,1.176711751780679,1.18,-0.003288248219320833
1,GDPV,2019,1.4223257154147684,1.42,0.002325715414768448
1,GDPV,2020,1.6355333505436276,1.64,-0.004466649456372318
1,IFP,2018,-0.12745781186236926,-0.13,0.002542188137630741
1,IFP,2019,-0.644809796865331,-0.64,-0.004809796865331006
1,IFP,2020,-1.221112955815934,-1.22,-0.001112955815933958
1,IFPV,2018,0.14053273887001394,0.13,0.010532738870013936
1,IFPV,2019,-0.09421697885173552,-0.1,0.005783021148264483
