scenario,variable,year,value_repro,value_paper,diff
1,BCVATGDPV,2018,-0.13180565,-0.12,-0.01180565
1,BCVATGDPV,2019,-0.29425915,-0.26,-0.03425915
1,BCVATGDPV,2020,-0.44158732,-0.4,-0.04158732
1,BGVATGDPV,2018,-0.48845732,-0.47,-0.01845732
1,BGVATGDPV,2019,-0.36159503,-0.34,-0.02159503
1,BGVATGDPV,2020,-0.30921932,-0.28,-0.02921932
1,CG,2018,0.04552166,0.04,0.00552166
1,CG,2019,0.16296214,0.16,0.00296214
1,CG,2020,0.27195777,0.26,0.01195777
1,CGPI,2018,0.04197567,0.04,0.00197567
1,CGPI,2019,0.1772482,0.17,0.0072482
1,CGPI,2020,0.34420637,0.33,0.01420637
1,CGV,2018,0.05239148,0.05,0.00239148
1,CGV,2019,0.29561035,0.28,0.01561035
1,CGV,2020,0.63510317,0.61,0.02510317
1,CP,2018,0.25757393,0.25,0.00757393
1,CP,2019,0.54983664,0.53,0.01983664
1,CP,2020,0.55168699,0.53,0.02168699
1,CPV,2018,0.27945491,0.27,0.00945491
1,CPV,2019,0.77143761,0.76,0.01143761
1,CPV,2020,1.04949976,1.04,0.00949976
1,CUX,2018,2.01389785,2.0,0.01389785
1,CUX,2019,2.20588023,2.01,0.19588023
1,CUX,2020,2.35749352,1.85,0.50749352
1,FXS,2018,-0.05859504,-0.06,0.00140496
1,FXS,2019,-0.2484414,-0.24,-0.0084414
1,FXS,2020,-0.49278484,-0.49,-0.00278484
1,GDP,2018,1.07946728,1.08,-0.00053272
1,GDP,2019,1.10744839,1.11,-0.00255161
1,GDP,2020,1.06408056,1.04,0.02408056
1,GDPD,2018,1.13066003,1.14,-0.00933997
1,GDPD,2019,-0.04535327,-0.06,0.01464673
1,GDPD,2020,-0.03079862,-0.06,0.02920138
1,GDPGAP,2018,0.96201322,0.96,0.00201322
1,GDPGAP,2019,0.96642346,0.99,-0.02357654
1,GDPGAP,2020,0.93265948,0.96,-0.02734052
1,GDPPOT,2018,0.13146886,0.12,0.01146886
1,GDPPOT,2019,0.14556724,0.12,0.02556724
1,GDPPOT,2020,0.08991019,0.05,0.03991019
1,GDPV,2018,1.1733806,1.18,-0.0066194
1,GDPV,2019,1.42723614,1.42,0.00723614
1,GDPV,2020,1.67405872,1.64,0.03405872
1,IFP,2018,-0.13169203,-0.13,-0.00169203
1,IFP,2019,-0.66061139,-0.64,-0.02061139
1,IFP,2020,-1.22504894,-1.22,-0.00504894
1,IFPV,2018,0.12520061,0.13,-0.00479939
1,IFPV,2019,-0.1598796,-0.1,-0.0598796
1,IFPV,2020,-0.47749166,-0.38,-0.09749166
1,IG,2018,20.07625493,20.08,-0.00374507
1,IG,2019,19.73838336,19.74,-0.00161664
1,IG,2020,18.12862915,18.13,-0.00137085
1,IGV,2018,20.35190436,20.36,-0.00809564
1,IGV,2019,20.34244003,20.4,-0.05755997
1,IGV,2020,19.08811047,19.2,-0.11188953
1,IHP,2018,0.30083013,0.2,0.10083013
1,IHP,2019,1.15556212,0.44,0.71556212
1,IHP,2020,1.95264492,0.44,1.51264492
1,IHPV,2018,0.31269176,0.22,0.09269176
1,IHPV,2019,1.38592945,0.68,0.70592945
1,IHPV,2020,2.48976955,0.99,1.49976955
1,KFP,2018,-0.0076668,-0.01,0.0023332
1,KFP,2019,-0.05734033,-0.06,0.00265967
1,KFP,2020,-0.16880629,-0.17,0.00119371
1,KG,2018,0.44078529,0.44,0.00078529
1,KG,2019,1.12308653,1.12,0.00308653
1,KG,2020,1.75073297,1.75,0.00073297
1,KHP,2018,0.00693001,0.01,-0.00306999
1,KHP,2019,0.04789014,0.02,0.02789014
1,KHP,2020,0.12855132,0.05,0.07855132
1,LE,2018,0.25603093,0.24,0.01603093
1,LE,2019,0.31703581,0.26,0.05703581
1,LE,2020,0.29492017,0.21,0.08492017
1,LF,2018,0.22264885,0.21,0.01264885
1,LF,2019,0.26962263,0.22,0.04962263
1,LF,2020,0.24360516,0.17,0.07360516
1,LH,2018,0.23216211,0.29,-0.05783789
1,LH,2019,0.1148533,0.3,-0.1851467
1,LH,2020,0.03100624,0.27,-0.23899376
1,M2CD,2018,0.68761214,0.7,-0.01238786
1,M2CD,2019,0.59501011,0.6,-0.00498989
1,M2CD,2020,0.79477067,0.78,0.01477067
1,MGS,2018,0.45570395,0.39,0.06570395
1,MGS,2019,1.0296992,0.86,0.1696992
1,MGS,2020,1.11617652,0.91,0.20617652
1,MGSV,2018,0.42365324,0.37,0.05365324
1,MGSV,2019,0.92482007,0.77,0.15482007
1,MGSV,2020,0.94568102,0.77,0.17568102
1,NIV,2018,1.47080099,1.47,0.00080099
1,NIV,2019,1.5878528,1.59,-0.0021472
1,NIV,2020,1.55154976,1.53,0.02154976
1,PCP,2018,0.02178015,0.02,0.00178015
1,PCP,2019,0.22037416,0.22,0.00037416
1,PCP,2020,0.49509745,0.51,-0.01490255
1,PERR,2018,-0.74355284,-0.71,-0.03355284
1,PERR,2019,-1.91207337,-1.77,-0.14207337
1,PERR,2020,-3.50892928,-3.3,-0.20892928
1,PGDP,2018,0.09288913,0.09,0.00288913
1,PGDP,2019,0.31629972,0.31,0.00629972
1,PGDP,2020,0.60356057,0.59,0.01356057
1,PIFP,2018,0.25728011,0.26,-0.00271989
1,PIFP,2019,0.50420981,0.55,-0.04579019
1,PIFP,2020,0.7568963,0.85,-0.0931037
1,PIHP,2018,0.01178121,0.01,0.00178121
1,PIHP,2019,0.22750206,0.23,-0.00249794
1,PIHP,2020,0.52669423,0.54,-0.01330577
1,PLAND,2018,0.04471843,0.01,0.03471843
1,PLAND,2019,0.22230028,0.1,0.12230028
1,PLAND,2020,0.47819995,0.31,0.16819995
1,PMGS,2018,-0.03184564,-0.03,-0.00184564
