scenario,variable,year,value_repro,value_paper,diff
1,BCVATGDPV,2018,-0.11531394,-0.12,0.00468606
1,BCVATGDPV,2019,-0.25678026,-0.26,0.00321974
1,BCVATGDPV,2020,-0.40724136,-0.4,-0.00724136
1,BGVATGDPV,2018,-0.46209924,-0.47,0.00790076
1,BGVATGDPV,2019,-0.34042379,-0.34,-0.00042379
1,BGVATGDPV,2020,-0.37789332,-0.28,-0.09789332
1,CG,2018,0.04658565,0.04,0.00658565
1,CG,2019,0.16649807,0.16,0.00649807
1,CG,2020,0.27910334,0.26,0.01910334
1,CGPI,2018,0.04419677,0.04,0.00419677
1,CGPI,2019,0.18609117,0.17,0.01609117
1,CGPI,2020,0.35940337,0.33,0.02940337
1,CGV,2018,0.05340389,0.05,0.00340389
1,CGV,2019,0.30126484,0.28,0.02126484
1,CGV,2020,0.65218628,0.61,0.04218628
1,CP,2018,0.23837575,0.25,-0.01162425
1,CP,2019,0.50348432,0.53,-0.02651568
1,CP,2020,0.48594414,0.53,-0.04405586
1,CPV,2018,0.26088349,0.27,-0.00911651
1,CPV,2019,0.73260536,0.76,-0.02739464
1,CPV,2020,1.00451313,1.04,-0.03548687
1,CUX,2018,2.01722132,2.0,0.01722132
1,CUX,2019,2.07936417,2.01,0.06936417
1,CUX,2020,2.12595211,1.85,0.27595211
1,FXS,2018,-0.05740095,-0.06,0.00259905
1,FXS,2019,-0.24817073,-0.24,-0.00817073
1,FXS,2020,-0.49872414,-0.49,-0.00872414
1,GDP,2018,1.08895031,1.08,0.00895031
1,GDP,2019,1.10807177,1.11,-0.00192823
1,GDP,2020,1.02198537,1.04,-0.01801463
1,GDPD,2018,1.14325614,1.14,0.00325614
1,GDPD,2019,-0.07247798,-0.06,-0.01247798
1,GDPD,2020,-0.07823759,-0.06,-0.01823759
1,GDPGAP,2018,1.00216469,0.96,0.04216469
1,GDPGAP,2019,1.02622829,0.99,0.03622829
1,GDPGAP,2020,0.97432965,0.96,0.01432965
1,GDPPOT,2018,0.11006555,0.12,-0.00993445
1,GDPPOT,2019,0.09584468,0.12,-0.02415532
1,GDPPOT,2020,0.01621334,0.05,-0.03378666
1,GDPV,2018,1.1580873,1.18,-0.0219127
1,GDPV,2019,1.39308719,1.42,-0.02691281
1,GDPV,2020,1.59904339,1.64,-0.04095661
1,IFP,2018,-0.12802678,-0.13,0.00197322
1,IFP,2019,-0.65655151,-0.64,-0.01655151
1,IFP,2020,-1.25230883,-1.22,-0.03230883
1,IFPV,2018,0.14571566,0.13,0.01571566
1,IFPV,2019,-0.09370515,-0.1,0.00629485
1,IFPV,2020,-0.3983547,-0.38,-0.0183547
1,IG,2018,20.10857541,20.08,0.02857541
1,IG,2019,19.52490605,19.74,-0.21509395
1,IG,2020,18.04601491,18.13,-0.08398509
1,IGV,2018,20.4028682,20.36,0.0428682
1,IGV,2019,20.1972728,20.4,-0.2027272
1,IGV,2020,19.12554536,19.2,-0.07445464
1,IHP,2018,0.19521047,0.2,-0.00478953
1,IHP,2019,0.4215862,0.44,-0.0184138
1,IHP,2020,0.41315379,0.44,-0.02684621
1,IHPV,2018,0.20947952,0.22,-0.01052048
1,IHPV,2019,0.66247235,0.68,-0.01752765
1,IHPV,2020,0.97200151,0.99,-0.01799849
1,KFP,2018,-0.007521,-0.01,0.002479
1,KFP,2019,-0.05718433,-0.06,0.00281567
1,KFP,2020,-0.17323494,-0.17,-0.00323494
1,KG,2018,0.45861917,0.44,0.01861917
1,KG,2019,1.16995217,1.12,0.04995217
1,KG,2020,1.82347975,1.75,0.07347975
1,KHP,2018,0.00510102,0.01,-0.00489898
1,KHP,2019,0.02327074,0.02,0.00327074
1,KHP,2020,0.04452439,0.05,-0.00547561
1,LE,2018,0.22054631,0.24,-0.01945369
1,LE,2019,0.23251059,0.26,-0.02748941
1,LE,2020,0.17020536,0.21,-0.03979464
1,LF,2018,0.18674129,0.21,-0.02325871
1,LF,2019,0.18608446,0.22,-0.03391554
1,LF,2020,0.1218323,0.17,-0.0481677
1,LH,2018,0.29596397,0.29,0.00596397
1,LH,2019,0.2985887,0.3,-0.0014113
1,LH,2020,0.25277434,0.27,-0.01722566
1,M2CD,2018,0.70314295,0.7,0.00314295
1,M2CD,2019,0.58881819,0.6,-0.01118181
1,M2CD,2020,0.75530546,0.78,-0.02469454
1,MGS,2018,0.38193114,0.39,-0.00806886
1,MGS,2019,0.82735962,0.86,-0.03264038
1,MGS,2020,0.85260141,0.91,-0.05739859
1,MGSV,2018,0.35186633,0.37,-0.01813367
1,MGSV,2019,0.72586202,0.77,-0.04413798
1,MGSV,2020,0.69575806,0.77,-0.07424194
1,NIV,2018,1.47391485,1.47,0.00391485
1,NIV,2019,1.54346047,1.59,-0.04653953
1,NIV,2020,1.45802148,1.53,-0.07197852
1,PCP,2018,0.02241303,0.02,0.00241303
1,PCP,2019,0.22796149,0.22,0.00796149
1,PCP,2020,0.51608637,0.51,0.00608637
1,PERR,2018,-0.70706332,-0.71,0.00293668
1,PERR,2019,-1.67159605,-1.77,0.09840395
1,PERR,2020,-3.28032352,-3.3,0.01967648
1,PGDP,2018,0.06837208,0.09,-0.02162792
1,PGDP,2019,0.28191315,0.31,-0.02808685
1,PGDP,2020,0.57123492,0.59,-0.01876508
1,PIFP,2018,0.27414816,0.26,0.01414816
1,PIFP,2019,0.56674591,0.55,0.01674591
1,PIFP,2020,0.86487094,0.85,0.01487094
1,PIHP,2018,0.01421936,0.01,0.00421936
1,PIHP,2019,0.23983923,0.23,0.00983923
1,PIHP,2020,0.55657163,0.54,0.01657163
1,PLAND,2018,0.00673355,0.01,-0.00326645
1,PLAND,2019,0.09927147,0.1,-0.00072853
1,PLAND,2020,0.31216002,0.31,0.00216002
1,PMGS,2018,-0.02990143,-0.03,9.857e-05
1,PMGS,2019,-0.10065701,-0.09,-0.01065701
1,PMGS,2020,-0.1555214,-0.14,-0.0155214
1,PSHARE,2018,-1.07604318,-1.07,-0.00604318
1,PSHARE,2019,-4.57522611,-4.48,-0.09522611
1,PSHARE,2020,-6.42077586,-6.26,-0.16077586
1,PXGS,2018,-0.02292654,-0.02,-0.00292654
1,PXGS,2019,-0.09917736,-0.1,0.00082264
1,PXGS,2020,-0.19945286,-0.2,0.00054714
1,RCD,2018,0.11887361,0.12,-0.00112639
1,RCD,2019,0.23544414,0.23,0.00544414
1,RCD,2020,0.26505622,0.26,0.00505622
1,RGB,2018,0.05582835,0.06,-0.00417165
1,RGB,2019,0.10818097,0.11,-0.00181903
1,RGB,2020,0.13138272,0.13,0.00138272
1,SBGVATGDPV,2018,-2.27040954,-2.37,0.09959046
1,SBGVATGDPV,2019,-2.4675213,-2.62,0.1524787
1,SBGVATGDPV,2020,-2.72742812,-2.96,0.23257188
1,TAXV,2018,1.14771887,1.16,-0.01228113
1,TAXV,2019,2.0961445,2.16,-0.0638555
1,TAXV,2020,2.14219555,2.15,-0.00780445
1,TCIV,2018,1.10067337,1.12,-0.01932663
1,TCIV,2019,1.3617042,1.4,-0.0382958
1,TCIV,2020,1.52400513,1.58,-0.05599487
1,TYCV,2018,1.83334724,1.89,-0.05665276
1,TYCV,2019,4.09514269,4.24,-0.14485731
1,TYCV,2020,3.79055676,3.63,0.16055676
1,TYPV,2018,1.2083728,1.2,0.0083728
1,TYPV,2019,1.84747685,1.89,-0.04252315
1,TYPV,2020,1.90692757,1.99,-0.08307243
1,UCC,2018,-0.54903927,-0.43,-0.11903927
1,UCC,2019,-0.1115336,-0.05,-0.0615336
1,UCC,2020,-0.27119006,-0.34,0.06880994
1,UR,2018,-0.03291339,-0.03,-0.00291339
1,UR,2019,-0.04526005,-0.04,-0.00526005
1,UR,2020,-0.04698286,-0.04,-0.00698286
1,WIPH,2018,0.48191237,0.55,-0.06808763
1,WIPH,2019,0.61691548,0.71,-0.09308452
1,WIPH,2020,0.7455419,0.87,-0.1244581
1,XGS,2018,-0.00062976,0.0,-0.00062976
1,XGS,2019,-0.01090127,-0.01,-0.00090127
1,XGS,2020,-0.04311959,-0.04,-0.00311959
1,XGSV,2018,-0.02355606,-0.02,-0.00355606
1,XGSV,2019,-0.11006627,-0.11,-6.627e-05
1,XGSV,2020,-0.24248307,-0.24,-0.00248307
1,YCV,2018,3.75645505,3.78,-0.02354495
1,YCV,2019,2.92883225,2.96,-0.03116775
1,YCV,2020,2.38224511,2.56,-0.17775489
1,YDV,2018,0.92260271,0.96,-0.03739729
1,YDV,2019,1.18780362,1.25,-0.06219638
1,YDV,2020,1.22317437,1.31,-0.08682563
1,YWV,2018,0.9501496,1.03,-0.0798504
1,YWV,2019,1.09257591,1.22,-0.12742409
1,YWV,2020,1.11054683,1.28,-0.16945317
2,BCVATGDPV,2018,-0.10690245,-0.11,0.00309755
2,BCVATGDPV,2019,-0.19491701,-0.2,0.00508299
2,BCVATGDPV,2020,-0.23375,-0.23,-0.00375
2,BGVATGDPV,2018,-0.45081354,-0.46,0.00918646
2,BGVATGDPV,2019,-0.26216752,-0.26,-0.00216752
2,BGVATGDPV,2020,-0.17297459,-0.05,-0.12297459
2,CG,2018,0.04658565,0.04,0.00658565
2,CG,2019,0.16649807,0.16,0.00649807
2,CG,2020,0.27910334,0.26,0.01910334
2,CGPI,2018,0.05513701,0.05,0.00513701
2,CGPI,2019,0.22964719,0.21,0.01964719
2,CGPI,2020,0.45145329,0.41,0.04145329
2,CGV,2018,0.05669373,0.05,0.00669373
2,CGV,2019,0.31797844,0.3,0.01797844
2,CGV,2020,0.69832889,0.65,0.04832889
2,CP,2018,0.22027706,0.23,-0.00972294
2,CP,2019,0.47179026,0.5,-0.02820974
2,CP,2020,0.53312077,0.57,-0.03687923
2,CPV,2018,0.25001895,0.26,-0.00998105
2,CPV,2019,0.72749658,0.75,-0.02250342
2,CPV,2020,1.11723525,1.14,-0.02276475
2,CUX,2018,2.08097377,2.06,0.02097377
2,CUX,2019,2.3271729,2.23,0.0971729
2,CUX,2020,2.46262295,2.09,0.37262295
2,FXS,2018,0.00402722,0.0,0.00402722
2,FXS,2019,0.02332116,0.02,0.00332116
2,FXS,2020,0.06116083,0.06,0.00116083
2,GDP,2018,1.12298271,1.12,0.00298271
2,GDP,2019,1.28149521,1.27,0.01149521
2,GDP,2020,1.34320879,1.33,0.01320879
2,GDPD,2018,1.21175377,1.2,0.01175377
2,GDPD,2019,0.09142569,0.09,0.00142569
2,GDPD,2020,0.03529092,0.03,0.00529092
2,GDPGAP,2018,1.03300642,0.99,0.04300642
2,GDPGAP,2019,1.15032457,1.1,0.05032457
2,GDPGAP,2020,1.14197885,1.1,0.04197885
2,GDPPOT,2018,0.11388677,0.13,-0.01611323
2,GDPPOT,2019,0.14607523,0.16,-0.01392477
2,GDPPOT,2020,0.16257809,0.18,-0.01742191
2,GDPV,2018,1.20101946,1.22,-0.01898054
2,GDPV,2019,1.60154948,1.61,-0.00845052
