scenario,variable,year,quarter,value
1,GDP,2018,1,0.9991420757370584
1,GDP,2018,2,1.0540262068688966
1,GDP,2018,3,1.1350028034290194
1,GDP,2018,4,1.1260325350068934
1,GDP,2019,1,1.1215715983129204
1,GDP,2019,2,1.1121657981903121
1,GDP,2019,3,1.076849395375179
1,GDP,2019,4,1.058567581181702
1,GDP,2020,1,1.0412933036617167
1,GDP,2020,2,1.0266342350013558
1,GDP,2020,3,1.0243533014201223
1,GDP,2020,4,1.006556482085541
1,CP,2018,1,0.002557857157570176
1,CP,2018,2,0.15069462800618716
1,CP,2018,3,0.3780966267850294
1,CP,2018,4,0.4479541750804783
1,CP,2019,1,0.48567050437497983
1,CP,2019,2,0.5127478611631764
1,CP,2019,3,0.5204456506785027
1,CP,2019,4,0.5269185171436375
1,CP,2020,1,0.517650689418514
1,CP,2020,2,0.5113267684385914
1,CP,2020,3,0.4722406910836696
1,CP,2020,4,0.4507588149355479
1,IFP,2018,1,-0.045460722239976104
1,IFP,2018,2,-0.09930943125497915
1,IFP,2018,3,-0.1470416387238771
1,IFP,2018,4,-0.2348185640658751
1,IFP,2019,1,-0.3739167465214188
1,IFP,2019,2,-0.5585132350322652
1,IFP,2019,3,-0.7580277214810693
1,IFP,2019,4,-0.9354654124368533
1,IFP,2020,1,-1.078032210572999
1,IFP,2020,2,-1.1839763506084733
1,IFP,2020,3,-1.258550351800436
1,IFP,2020,4,-1.307756746387656
1,IHP,2018,1,0.10178956469948375
1,IHP,2018,2,0.13300122744941412
1,IHP,2018,3,0.24206029784217264
1,IHP,2018,4,0.31189383648724256
1,IHP,2019,1,0.3534706943490562
1,IHP,2019,2,0.4215433408042868
1,IHP,2019,3,0.4382961859654033
1,IHP,2019,4,0.46242877004798455
1,IHP,2020,1,0.4413497345625572
1,IHP,2020,2,0.40941176631976717
1,IHP,2020,3,0.4005890478153695
1,IHP,2020,4,0.37642399759618694
1,IG,2018,1,20.174735189129844
1,IG,2018,2,19.862928726502705
1,IG,2018,3,19.9881111552777
1,IG,2018,4,20.279244631535633
1,IG,2019,1,19.952865550087772
1,IG,2019,2,20.040976328702122
1,IG,2019,3,19.821703827996128
1,IG,2019,4,19.137987740539852
1,IG,2020,1,19.40646400296442
1,IG,2020,2,17.23105554199933
1,IG,2020,3,17.96445608901289
1,IG,2020,4,17.91254096831785
1,CG,2018,1,0.0
1,CG,2018,2,0.03033886580510181
1,CG,2018,3,0.06079665352987096
1,CG,2018,4,0.09095111303716319
1,CG,2019,1,0.12046479391252252
1,CG,2019,2,0.1485696728453778
1,CG,2019,3,0.17746769519688677
1,CG,2019,4,0.20534640672649207
1,CG,2020,1,0.2334970638585787
1,CG,2020,2,0.26321364103907285
1,CG,2020,3,0.28196702632368176
1,CG,2020,4,0.30915334549816986
1,XGS,2018,1,0.0
1,XGS,2018,2,-0.00014524345031130537
1,XGS,2018,3,-0.0006382850986752509
1,XGS,2018,4,-0.0017997259318169867
1,XGS,2019,1,-0.004037392454059319
1,XGS,2019,2,-0.007677556139862318
1,XGS,2019,3,-0.01289824199808276
1,XGS,2019,4,-0.01972759769024446
1,XGS,2020,1,-0.028008983564065115
1,XGS,2020,2,-0.03744642321799052
1,XGS,2020,3,-0.04776379925102159
1,XGS,2020,4,-0.05867412861599863
1,MGS,2018,1,0.12189678763576683
1,MGS,2018,2,0.2410559548828184
1,MGS,2018,3,0.5201404051228709
1,MGS,2018,4,0.7359324031557479
1,MGS,2019,1,0.8189433721222716
1,MGS,2019,2,0.8519706748876921
1,MGS,2019,3,0.884288228953789
1,MGS,2019,4,0.9124396742366869
1,MGS,2020,1,0.913904114937858
1,MGS,2020,2,0.8846223593053093
1,MGS,2020,3,0.8784332046444465
1,MGS,2020,4,0.8550101226635576
1,GDPD,2018,1,4.001644161887785
1,GDPD,2018,2,0.21821303507574585
1,GDPD,2018,3,0.3182003900738719
1,GDPD,2018,4,-0.03541085882053108
1,GDPD,2019,1,-0.017728016097711796
1,GDPD,2019,2,-0.037396153701358514
1,GDPD,2019,3,-0.1397284995980963
1,GDPD,2019,4,-0.07036841779872027
1,GDPD,2020,1,-0.0686692069920034
1,GDPD,2020,2,-0.0534190365277567
1,GDPD,2020,3,-0.009509923506126228
1,GDPD,2020,4,-0.07177804052813475
1,PGDP,2018,1,0.04212433756978218
1,PGDP,2018,2,0.0716397991283424
1,PGDP,2018,3,0.10779841117174449
1,PGDP,2018,4,0.15776432577589983
1,PGDP,2019,1,0.2082085727112437
1,PGDP,2019,2,0.2766770543080055
1,PGDP,2019,3,0.3474889724276453
1,PGDP,2019,4,0.4147405091039724
1,PGDP,2020,1,0.4810441099982965
1,PGDP,2020,2,0.5461751283331928
1,PGDP,2020,3,0.597522797908101
1,PGDP,2020,4,0.661073997436934
1,PCP,2018,1,-0.002634481280350265
1,PCP,2018,2,0.002415114484599634
1,PCP,2018,3,0.023341735381099404
1,PCP,2018,4,0.0631294053857312
1,PCP,2019,1,0.11889138676848265
1,PCP,2019,2,0.18083574182208295
1,PCP,2019,3,0.24447162487553076
1,PCP,2019,4,0.30829075218661295
1,PCP,2020,1,0.37195665546112533
1,PCP,2020,2,0.4355123381192483
1,PCP,2020,3,0.4987704847842389
1,PCP,2020,4,0.562121608355981
1,PIFP,2018,1,0.15794643530260277
1,PIFP,2018,2,0.23077649015470492
1,PIFP,2018,3,0.30601371770269115
1,PIFP,2018,4,0.362015643834912
1,PIFP,2019,1,0.4331522578478353
1,PIFP,2019,2,0.5034675485551698
1,PIFP,2019,3,0.5750616289454724
1,PIFP,2019,4,0.6417808856805873
1,PIFP,2020,1,0.7147394990350664
1,PIFP,2020,2,0.7772967423401944
1,PIFP,2020,3,0.8583374997399584
1,PIFP,2020,4,0.9369612046730591
1,PIHP,2018,1,-0.010580611352051239
1,PIHP,2018,2,-0.00860472253090272
1,PIHP,2018,3,0.011255298188217466
1,PIHP,2018,4,0.05223188707594861
1,PIHP,2019,1,0.11642119446495514
