scenario,variable,year,quarter,value
1,GDP,2018,1,0.99914208
1,GDP,2018,2,1.05020569
1,GDP,2018,3,1.1314299
1,GDP,2018,4,1.12483894
1,GDP,2019,1,1.12362559
1,GDP,2019,2,1.11622059
1,GDP,2019,3,1.08686478
1,GDP,2019,4,1.07740322
1,GDP,2020,1,1.06621348
1,GDP,2020,2,1.05584506
1,GDP,2020,3,1.05974666
1,GDP,2020,4,1.0454526
1,CP,2018,1,0.00255786
1,CP,2018,2,0.15067254
1,CP,2018,3,0.38440782
1,CP,2018,4,0.46145637
1,CP,2019,1,0.50068195
1,CP,2019,2,0.52809995
1,CP,2019,3,0.53870148
1,CP,2019,4,0.55350792
1,CP,2020,1,0.55189685
1,CP,2020,2,0.55180904
1,CP,2020,3,0.51567158
1,CP,2020,4,0.50179154
1,IFP,2018,1,-0.04546072
1,IFP,2018,2,-0.09891441
1,IFP,2018,3,-0.14662603
1,IFP,2018,4,-0.23491712
1,IFP,2019,1,-0.37389237
1,IFP,2019,2,-0.5594645
1,IFP,2019,3,-0.76082163
1,IFP,2019,4,-0.9408247
1,IFP,2020,1,-1.08510878
1,IFP,2020,2,-1.19510771
1,IFP,2020,3,-1.27301454
1,IFP,2020,4,-1.32418281
1,IHP,2018,1,0.10178956
1,IHP,2018,2,0.16924154
1,IHP,2018,3,0.34973902
1,IHP,2018,4,0.5397273
1,IHP,2019,1,0.73983067
1,IHP,2019,2,1.01460482
1,IHP,2019,3,1.24385068
1,IHP,2019,4,1.48269169
1,IHP,2020,1,1.66353944
1,IHP,2020,2,1.8167382
1,IHP,2020,3,1.97229168
1,IHP,2020,4,2.09560068
1,IG,2018,1,20.17473519
1,IG,2018,2,19.86292873
1,IG,2018,3,19.98811116
1,IG,2018,4,20.27924463
1,IG,2019,1,19.95286555
1,IG,2019,2,20.04097633
1,IG,2019,3,19.82170383
1,IG,2019,4,19.13798774
1,IG,2020,1,19.406464
1,IG,2020,2,17.23105554
1,IG,2020,3,17.96445609
1,IG,2020,4,17.91254097
1,CG,2018,1,0.0
1,CG,2018,2,0.03033887
1,CG,2018,3,0.06079665
1,CG,2018,4,0.09095111
1,CG,2019,1,0.12046479
1,CG,2019,2,0.14856967
1,CG,2019,3,0.1774677
1,CG,2019,4,0.20534641
1,CG,2020,1,0.23349706
1,CG,2020,2,0.26321364
1,CG,2020,3,0.28196703
1,CG,2020,4,0.30915335
1,XGS,2018,1,0.0
1,XGS,2018,2,-0.00056202
1,XGS,2018,3,-0.00191148
1,XGS,2018,4,-0.00484002
1,XGS,2019,1,-0.00980757
1,XGS,2019,2,-0.01713267
1,XGS,2019,3,-0.02698529
1,XGS,2019,4,-0.03922636
1,XGS,2020,1,-0.05349058
1,XGS,2020,2,-0.06925132
1,XGS,2020,3,-0.08603743
1,XGS,2020,4,-0.10340983
1,MGS,2018,1,0.12189679
1,MGS,2018,2,0.26848681
1,MGS,2018,3,0.57789666
1,MGS,2018,4,0.82016112
1,MGS,2019,1,0.92395592
1,MGS,2019,2,0.98360321
1,MGS,2019,3,1.02762014
1,MGS,2019,4,1.06797004
1,MGS,2020,1,1.08937464
1,MGS,2020,2,1.09215996
1,MGS,2020,3,1.08598532
1,MGS,2020,4,1.06583374
1,GDPD,2018,1,4.00164416
1,GDPD,2018,2,0.20302308
1,GDPD,2018,3,0.31918549
1,GDPD,2018,4,-0.0260193
1,GDPD,2019,1,-0.00482196
1,GDPD,2019,2,-0.02944067
1,GDPD,2019,3,-0.11614086
1,GDPD,2019,4,-0.03641484
1,GDPD,2020,1,-0.04447349
1,GDPD,2020,2,-0.03777419
1,GDPD,2020,3,0.01626227
1,GDPD,2020,4,-0.05763053
1,PGDP,2018,1,0.04212434
1,PGDP,2018,2,0.07022568
1,PGDP,2018,3,0.10487043
1,PGDP,2018,4,0.1534698
1,PGDP,2019,1,0.20713893
1,PGDP,2019,2,0.27652243
1,PGDP,2019,3,0.35189202
1,PGDP,2019,4,0.42439303
1,PGDP,2020,1,0.49524077
1,PGDP,2020,2,0.57363683
1,PGDP,2020,3,0.63018102
1,PGDP,2020,4,0.70280531
1,PCP,2018,1,-0.00263448
1,PCP,2018,2,0.0023598
1,PCP,2018,3,0.02345936
1,PCP,2018,4,0.06392867
1,PCP,2019,1,0.12118637
1,PCP,2019,2,0.18551604
1,PCP,2019,3,0.25235538
1,PCP,2019,4,0.32017831
1,PCP,2020,1,0.38873082
1,PCP,2020,2,0.45782287
1,PCP,2020,3,0.52754655
1,PCP,2020,4,0.59815774
1,PIFP,2018,1,0.15794644
1,PIFP,2018,2,0.22681749
1,PIFP,2018,3,0.29663398
1,PIFP,2018,4,0.3454083
1,PIFP,2019,1,0.40975664
1,PIFP,2019,2,0.47127368
1,PIFP,2019,3,0.53452999
1,PIFP,2019,4,0.5926586
1,PIFP,2020,1,0.65897613
1,PIFP,2020,2,0.71173069
1,PIFP,2020,3,0.78568419
1,PIFP,2020,4,0.85614043
1,PIHP,2018,1,-0.01058061
1,PIHP,2018,2,-0.00813767
1,PIHP,2018,3,0.01223902
1,PIHP,2018,4,0.05381222
1,PIHP,2019,1,0.11796521
1,PIHP,2019,2,0.18915852
1,PIHP,2019,3,0.26346942
1,PIHP,2019,4,0.33744669
1,PIHP,2020,1,0.41195682
1,PIHP,2020,2,0.48732954
1,PIHP,2020,3,0.56236328
1,PIHP,2020,4,0.63627872
1,PXGS,2018,1,-0.00609008
1,PXGS,2018,2,-0.01462155
1,PXGS,2018,3,-0.02299956
1,PXGS,2018,4,-0.03368252
1,PXGS,2019,1,-0.0441462
1,PXGS,2019,2,-0.05342082
1,PXGS,2019,3,-0.06061259
1,PXGS,2019,4,-0.06574604
1,PXGS,2020,1,-0.06868721
1,PXGS,2020,2,-0.06973682
1,PXGS,2020,3,-0.068493
1,PXGS,2020,4,-0.06607983
1,PMGS,2018,1,-0.0078209
1,PMGS,2018,2,-0.01711809
1,PMGS,2018,3,-0.03861425
1,PMGS,2018,4,-0.06231331
1,PMGS,2019,1,-0.07107594
1,PMGS,2019,2,-0.09771419
1,PMGS,2019,3,-0.11165223
1,PMGS,2019,4,-0.13174221
1,PMGS,2020,1,-0.15578656
1,PMGS,2020,2,-0.15097652
1,PMGS,2020,3,-0.1735795
1,PMGS,2020,4,-0.19435435
1,CGPI,2018,1,-0.00377579
1,CGPI,2018,2,0.03884693
1,CGPI,2018,3,0.05252876
1,CGPI,2018,4,0.08036875
1,CGPI,2019,1,0.11743738
1,CGPI,2019,2,0.15589409
1,CGPI,2019,3,0.19682946
1,CGPI,2019,4,0.23689607
1,CGPI,2020,1,0.27645597
1,CGPI,2020,2,0.32287736
1,CGPI,2020,3,0.36450159
1,CGPI,2020,4,0.40626714
1,GDPV,2018,1,1.0416873
1,GDPV,2018,2,1.12116888
1,GDPV,2018,3,1.23748687
1,GDPV,2018,4,1.28003502
1,GDPV,2019,1,1.33309199
1,GDPV,2019,2,1.39582962
1,GDPV,2019,3,1.44258139
1,GDPV,2019,4,1.50636867
1,GDPV,2020,1,1.56673457
1,GDPV,2020,2,1.63553861
1,GDPV,2020,3,1.696606
1,GDPV,2020,4,1.7556054
