scenario,variable,year,quarter,value
1,GDP,2018,1,0.99914208
1,GDP,2018,2,1.05061338
1,GDP,2018,3,1.13697036
1,GDP,2018,4,1.13114331
1,GDP,2019,1,1.12866391
1,GDP,2019,2,1.12351485
1,GDP,2019,3,1.09249255
1,GDP,2019,4,1.08512225
1,GDP,2020,1,1.07251384
1,GDP,2020,2,1.06382127
1,GDP,2020,3,1.06653142
1,GDP,2020,4,1.0534557
1,CP,2018,1,0.00255786
1,CP,2018,2,0.15067357
1,CP,2018,3,0.39760613
1,CP,2018,4,0.47945817
1,CP,2019,1,0.51791359
1,CP,2019,2,0.54851003
1,CP,2019,3,0.55740896
1,CP,2019,4,0.57551398
1,CP,2020,1,0.57209705
1,CP,2020,2,0.57456574
1,CP,2020,3,0.5361331
1,CP,2020,4,0.52395206
1,IFP,2018,1,-0.04546072
1,IFP,2018,2,-0.09893266
1,IFP,2018,3,-0.14688794
1,IFP,2018,4,-0.23548678
1,IFP,2019,1,-0.37469342
1,IFP,2019,2,-0.56079954
1,IFP,2019,3,-0.76294615
1,IFP,2019,4,-0.94400644
1,IFP,2020,1,-1.08941764
1,IFP,2020,2,-1.20044327
1,IFP,2020,3,-1.27921489
1,IFP,2020,4,-1.33111997
1,IHP,2018,1,0.10178956
1,IHP,2018,2,0.1808862
1,IHP,2018,3,0.35418495
1,IHP,2018,4,0.56645981
1,IHP,2019,1,0.75496951
1,IHP,2019,2,1.05408648
1,IHP,2019,3,1.27540059
1,IHP,2019,4,1.5377919
1,IHP,2020,1,1.71158355
1,IHP,2020,2,1.88581602
1,IHP,2020,3,2.03448069
1,IHP,2020,4,2.17869943
1,IG,2018,1,20.17473519
1,IG,2018,2,19.86292873
1,IG,2018,3,19.98811116
1,IG,2018,4,20.27924463
1,IG,2019,1,19.95286555
1,IG,2019,2,20.04097633
1,IG,2019,3,19.82170383
1,IG,2019,4,19.13798774
1,IG,2020,1,19.406464
1,IG,2020,2,17.23105554
1,IG,2020,3,17.96445609
1,IG,2020,4,17.91254097
1,CG,2018,1,0.0
1,CG,2018,2,0.03033887
1,CG,2018,3,0.06079665
1,CG,2018,4,0.09095111
1,CG,2019,1,0.12046479
1,CG,2019,2,0.14856967
1,CG,2019,3,0.1774677
1,CG,2019,4,0.20534641
1,CG,2020,1,0.23349706
1,CG,2020,2,0.26321364
1,CG,2020,3,0.28196703
1,CG,2020,4,0.30915335
1,XGS,2018,1,0.0
1,XGS,2018,2,-0.00056202
1,XGS,2018,3,-0.00191171
1,XGS,2018,4,-0.00484371
1,XGS,2019,1,-0.00981943
1,XGS,2019,2,-0.01715976
1,XGS,2019,3,-0.02703947
1,XGS,2019,4,-0.03931927
1,XGS,2020,1,-0.05363725
1,XGS,2020,2,-0.06946556
1,XGS,2020,3,-0.08633206
1,XGS,2020,4,-0.1037973
1,MGS,2018,1,0.12189679
1,MGS,2018,2,0.26853548
1,MGS,2018,3,0.58847506
1,MGS,2018,4,0.84390848
1,MGS,2019,1,0.95053723
1,MGS,2019,2,1.011928
1,MGS,2019,3,1.05696819
1,MGS,2019,4,1.09936337
1,MGS,2020,1,1.1215765
1,MGS,2020,2,1.1248062
1,MGS,2020,3,1.1190431
1,MGS,2020,4,1.09928028
1,GDPD,2018,1,4.00164416
1,GDPD,2018,2,0.20464401
1,GDPD,2018,3,0.33935427
1,GDPD,2018,4,-0.02300232
1,GDPD,2019,1,-0.00985277
1,GDPD,2019,2,-0.02047048
1,GDPD,2019,3,-0.12272522
1,GDPD,2019,4,-0.02836461
1,GDPD,2020,1,-0.05010813
1,GDPD,2020,2,-0.03166678
1,GDPD,2020,3,0.01129533
1,GDPD,2020,4,-0.05271491
1,PGDP,2018,1,0.04212434
1,PGDP,2018,2,0.07024918
1,PGDP,2018,3,0.10515265
1,PGDP,2018,4,0.15403033
1,PGDP,2019,1,0.20786097
1,PGDP,2019,2,0.27764948
1,PGDP,2019,3,0.35332945
1,PGDP,2019,4,0.42635899
1,PGDP,2020,1,0.49757775
1,PGDP,2020,2,0.57669905
1,PGDP,2020,3,0.63341073
1,PGDP,2020,4,0.70655473
1,PCP,2018,1,-0.00263448
1,PCP,2018,2,0.00235874
1,PCP,2018,3,0.02344731
1,PCP,2018,4,0.06394903
1,PCP,2019,1,0.1213366
1,PCP,2019,2,0.18589157
1,PCP,2019,3,0.25304808
1,PCP,2019,4,0.32122039
1,PCP,2020,1,0.39014751
1,PCP,2020,2,0.45963514
1,PCP,2020,3,0.52977889
1,PCP,2020,4,0.60082825
1,PIFP,2018,1,0.15794644
1,PIFP,2018,2,0.22688216
1,PIFP,2018,3,0.29753564
