scenario,variable,year,quarter,value
1,GDP,2018,1,1.00378157
1,GDP,2018,2,1.05944229
1,GDP,2018,3,1.14603605
1,GDP,2018,4,1.14654132
1,GDP,2019,1,1.13992241
1,GDP,2019,2,1.12756441
1,GDP,2019,3,1.09201985
1,GDP,2019,4,1.07278042
1,GDP,2020,1,1.04871437
1,GDP,2020,2,1.02933285
1,GDP,2020,3,1.01645603
1,GDP,2020,4,0.99343823
1,CP,2018,1,0.00252316
1,CP,2018,2,0.14637399
1,CP,2018,3,0.36755872
1,CP,2018,4,0.43704713
1,CP,2019,1,0.4785171
1,CP,2019,2,0.50382874
1,CP,2019,3,0.50978457
1,CP,2019,4,0.52180688
1,CP,2020,1,0.51796616
1,CP,2020,2,0.51455298
1,CP,2020,3,0.47008905
1,CP,2020,4,0.44116838
1,IFP,2018,1,-0.04500436
1,IFP,2018,2,-0.09614321
1,IFP,2018,3,-0.14192357
1,IFP,2018,4,-0.22903599
1,IFP,2019,1,-0.36593049
1,IFP,2019,2,-0.55251158
1,IFP,2019,3,-0.75926102
1,IFP,2019,4,-0.94850295
1,IFP,2020,1,-1.10341414
1,IFP,2020,2,-1.22477945
1,IFP,2020,3,-1.3116926
1,IFP,2020,4,-1.36934915
1,IHP,2018,1,0.0988331
1,IHP,2018,2,0.13128848
1,IHP,2018,3,0.23944048
1,IHP,2018,4,0.31127983
1,IHP,2019,1,0.35154414
1,IHP,2019,2,0.42448678
1,IHP,2019,3,0.43961964
1,IHP,2019,4,0.47069423
1,IHP,2020,1,0.45049984
1,IHP,2020,2,0.41924856
1,IHP,2020,3,0.40592421
1,IHP,2020,4,0.37694253
1,IG,2018,1,20.16120547
1,IG,2018,2,20.00268939
1,IG,2018,3,20.00766332
1,IG,2018,4,20.26274347
1,IG,2019,1,19.8258224
1,IG,2019,2,19.49977784
1,IG,2019,3,19.634288
1,IG,2019,4,19.13973597
1,IG,2020,1,19.38025699
1,IG,2020,2,16.80294957
1,IG,2020,3,17.89114997
1,IG,2020,4,18.10970311
1,CG,2018,1,0.0
