scenario,variable,year,quarter,value
1,GDP,2022,1,1.00472457
1,GDP,2022,2,1.05713076
1,GDP,2022,3,1.13481683
1,GDP,2022,4,1.13578848
1,GDP,2023,1,1.12999771
1,GDP,2023,2,1.11379311
1,GDP,2023,3,1.07832363
1,GDP,2023,4,1.05544737
1,GDP,2024,1,1.04702225
1,GDP,2024,2,1.02520148
1,GDP,2024,3,1.01135718
1,GDP,2024,4,1.0011942
1,CP,2022,1,0.00252311
1,CP,2022,2,0.14784606
1,CP,2022,3,0.37448929
1,CP,2022,4,0.45072236
1,CP,2023,1,0.4865513
1,CP,2023,2,0.50180487
1,CP,2023,3,0.50428939
1,CP,2023,4,0.52156849
1,CP,2024,1,0.53282735
1,CP,2024,2,0.54843611
1,CP,2024,3,0.55044803
1,CP,2024,4,0.53503943
1,IFP,2022,1,-0.04430256
1,IFP,2022,2,-0.09377463
1,IFP,2022,3,-0.13594245
1,IFP,2022,4,-0.21726314
1,IFP,2023,1,-0.34813124
1,IFP,2023,2,-0.52937379
1,IFP,2023,3,-0.72961375
1,IFP,2023,4,-0.91276443
1,IFP,2024,1,-1.06604527
1,IFP,2024,2,-1.189195
1,IFP,2024,3,-1.27781343
1,IFP,2024,4,-1.34328747
1,IHP,2022,1,0.09956521
1,IHP,2022,2,0.13444072
1,IHP,2022,3,0.24368952
1,IHP,2022,4,0.31022977
1,IHP,2023,1,0.35113004
1,IHP,2023,2,0.41623584
1,IHP,2023,3,0.44131361
1,IHP,2023,4,0.47390575
1,IHP,2024,1,0.47044143
1,IHP,2024,2,0.46287802
1,IHP,2024,3,0.43564216
1,IHP,2024,4,0.45088083
1,IG,2022,1,20.95214656
1,IG,2022,2,21.62009127
1,IG,2022,3,21.36071057
1,IG,2022,4,21.16263253
1,IG,2023,1,20.4515446
1,IG,2023,2,20.9399009
1,IG,2023,3,21.00879817
1,IG,2023,4,21.17318405
1,IG,2024,1,21.36552523
1,IG,2024,2,21.22625749
1,IG,2024,3,21.1124961
1,IG,2024,4,21.2652987
1,CG,2022,1,-0.0
1,CG,2022,2,0.03092902
1,CG,2022,3,0.06144229
1,CG,2022,4,0.09151347
1,CG,2023,1,0.12092545
1,CG,2023,2,0.15490806
1,CG,2023,3,0.18547084
1,CG,2023,4,0.21620972
1,CG,2024,1,0.24930914
1,CG,2024,2,0.27254078
1,CG,2024,3,0.30225992
1,CG,2024,4,0.33199339
1,XGS,2022,1,0.0
1,XGS,2022,2,-0.00014352
1,XGS,2022,3,-0.00062444
1,XGS,2022,4,-0.00175598
1,XGS,2023,1,-0.00393636
1,XGS,2023,2,-0.00748405
1,XGS,2023,3,-0.01258817
1,XGS,2023,4,-0.0193009
1,XGS,2024,1,-0.0275026
1,XGS,2024,2,-0.03693414
1,XGS,2024,3,-0.04736602
1,XGS,2024,4,-0.05852038
1,MGS,2022,1,0.11864462
1,MGS,2022,2,0.23516051
1,MGS,2022,3,0.51872014
1,MGS,2022,4,0.73803067
1,MGS,2023,1,0.81370614
1,MGS,2023,2,0.85701751
1,MGS,2023,3,0.87706142
1,MGS,2023,4,0.90200131
1,MGS,2024,1,0.92178361
1,MGS,2024,2,0.95548404
1,MGS,2024,3,0.98059614
1,MGS,2024,4,0.97819727
1,GDPD,2022,1,4.00125946
1,GDPD,2022,2,0.20951724
1,GDPD,2022,3,0.3066711
1,GDPD,2022,4,0.00386216
1,GDPD,2023,1,-0.0231031
1,GDPD,2023,2,-0.06413612
1,GDPD,2023,3,-0.13856063
1,GDPD,2023,4,-0.09095997
1,GDPD,2024,1,-0.03331706
1,GDPD,2024,2,-0.08627874
1,GDPD,2024,3,-0.05527309
1,GDPD,2024,4,-0.0404053
1,PGDP,2022,1,0.07724397
1,PGDP,2022,2,0.11188335
1,PGDP,2022,3,0.14074378
1,PGDP,2022,4,0.16844511
1,PGDP,2023,1,0.2155943
1,PGDP,2023,2,0.2759466
1,PGDP,2023,3,0.33783123
1,PGDP,2023,4,0.40781585
1,PGDP,2024,1,0.47641958
1,PGDP,2024,2,0.54690735
1,PGDP,2024,3,0.61938488
1,PGDP,2024,4,0.68723513
1,PCP,2022,1,-0.0025991
1,PCP,2022,2,0.00257974
1,PCP,2022,3,0.02400401
1,PCP,2022,4,0.06510332
1,PCP,2023,1,0.12354114
1,PCP,2023,2,0.1896363
1,PCP,2023,3,0.25891706
1,PCP,2023,4,0.32951844
1,PCP,2024,1,0.40074689
1,PCP,2024,2,0.4721529
1,PCP,2024,3,0.54401488
1,PCP,2024,4,0.61612161
1,PIFP,2022,1,0.15498637
1,PIFP,2022,2,0.22957778
1,PIFP,2022,3,0.30596985
1,PIFP,2022,4,0.36820218
1,PIFP,2023,1,0.44503198
1,PIFP,2023,2,0.51558457
1,PIFP,2023,3,0.58699352
1,PIFP,2023,4,0.65931947
1,PIFP,2024,1,0.73676965
1,PIFP,2024,2,0.81117944
1,PIFP,2024,3,0.8914152
1,PIFP,2024,4,0.96534613
1,PIHP,2022,1,-0.01071365
1,PIHP,2022,2,-0.00861458
1,PIHP,2022,3,0.00963228
1,PIHP,2022,4,0.05109947
1,PIHP,2023,1,0.11712103
1,PIHP,2023,2,0.1916656
1,PIHP,2023,3,0.26948798
1,PIHP,2023,4,0.34511324
1,PIHP,2024,1,0.42183134
1,PIHP,2024,2,0.49787832
1,PIHP,2024,3,0.57505484
1,PIHP,2024,4,0.64909056
1,PXGS,2022,1,-0.00601791
1,PXGS,2022,2,-0.01414664
1,PXGS,2022,3,-0.02727812
1,PXGS,2022,4,-0.04397145
1,PXGS,2023,1,-0.06333731
1,PXGS,2023,2,-0.08540557
1,PXGS,2023,3,-0.10884474
1,PXGS,2023,4,-0.13364415
1,PXGS,2024,1,-0.15882765
1,PXGS,2024,2,-0.1846136
1,PXGS,2024,3,-0.21033435
1,PXGS,2024,4,-0.23714802
1,PMGS,2022,1,-0.01009073
1,PMGS,2022,2,-0.038048
1,PMGS,2022,3,-0.09147031
1,PMGS,2022,4,-0.12473327
1,PMGS,2023,1,-0.13229826
1,PMGS,2023,2,-0.13876362
1,PMGS,2023,3,-0.1563844
1,PMGS,2023,4,-0.19884213
1,PMGS,2024,1,-0.21843204
1,PMGS,2024,2,-0.24757253
1,PMGS,2024,3,-0.26567767
1,PMGS,2024,4,-0.28554183
1,CGPI,2022,1,-0.0042118
1,CGPI,2022,2,0.03589773
1,CGPI,2022,3,0.04428538
1,CGPI,2022,4,0.07066534
1,CGPI,2023,1,0.11009599
1,CGPI,2023,2,0.15414139
1,CGPI,2023,3,0.19503314
1,CGPI,2023,4,0.23133033
1,CGPI,2024,1,0.27197197
1,CGPI,2024,2,0.31198834
1,CGPI,2024,3,0.35264802
1,CGPI,2024,4,0.39432033
1,GDPV,2022,1,1.08274462
1,GDPV,2022,2,1.17019686
1,GDPV,2022,3,1.2771578
1,GDPV,2022,4,1.30614677
1,GDPV,2023,1,1.34802822
1,GDPV,2023,2,1.39281318
1,GDPV,2023,3,1.41979778
1,GDPV,2023,4,1.4675675
1,GDPV,2024,1,1.52843005
1,GDPV,2024,2,1.57771573
1,GDPV,2024,3,1.63700625
1,GDPV,2024,4,1.69530989
1,CPV,2022,1,-7.605e-05
1,CPV,2022,2,0.15042962
1,CPV,2022,3,0.39858319
1,CPV,2022,4,0.51611911
1,CPV,2023,1,0.61069353
1,CPV,2023,2,0.69239277
1,CPV,2023,3,0.76451215
1,CPV,2023,4,0.8528056
1,CPV,2024,1,0.93570952
1,CPV,2024,2,1.02317847
1,CPV,2024,3,1.09745742
1,CPV,2024,4,1.15445753
1,IFPV,2022,1,0.11061515
1,IFPV,2022,2,0.13558786
1,IFPV,2022,3,0.16961145
1,IFPV,2022,4,0.15013907
1,IFPV,2023,1,0.09535145
1,IFPV,2023,2,-0.01651858
1,IFPV,2023,3,-0.14690302
1,IFPV,2023,4,-0.25946299
1,IFPV,2024,1,-0.33712992
1,IFPV,2024,2,-0.38766207
1,IFPV,2024,3,-0.39778885
1,IFPV,2024,4,-0.39090871
1,IHPV,2022,1,0.0888409
1,IHPV,2022,2,0.12581456
1,IHPV,2022,3,0.25334527
1,IHPV,2022,4,0.36148777
1,IHPV,2023,1,0.46866232
1,IHPV,2023,2,0.60869922
1,IHPV,2023,3,0.71199087
1,IHPV,2023,4,0.82065451
1,IHPV,2024,1,0.89425724
1,IHPV,2024,2,0.96306092
1,IHPV,2024,3,1.01320218
1,IHPV,2024,4,1.10289801
1,IGV,2022,1,21.11473552
1,IGV,2022,2,21.86350165
1,IGV,2022,3,21.69030118
1,IGV,2022,4,21.57065003
1,IGV,2023,1,20.9596232
1,IGV,2023,2,21.54980042
1,IGV,2023,3,21.72134659
1,IGV,2023,4,21.9898437
1,IGV,2024,1,22.29275051
1,IGV,2024,2,22.25816117
1,IGV,2024,3,22.25565049
1,IGV,2024,4,22.51455133
1,CGV,2022,1,-0.0
1,CGV,2022,2,0.0300051
1,CGV,2022,3,0.06669755
1,CGV,2022,4,0.11482142
1,CGV,2023,1,0.17784272
1,CGV,2023,2,0.25887112
1,CGV,2023,3,0.34346182
1,CGV,2023,4,0.43247432
1,CGV,2024,1,0.52575292
1,CGV,2024,2,0.61031211
1,CGV,2024,3,0.70181024
1,CGV,2024,4,0.79384719
1,XGSV,2022,1,-0.00601791
1,XGSV,2022,2,-0.01429014
1,XGSV,2022,3,-0.02790239
1,XGSV,2022,4,-0.04572666
1,XGSV,2023,1,-0.06727117
1,XGSV,2023,2,-0.09288323
1,XGSV,2023,3,-0.1214192
1,XGSV,2023,4,-0.15291925
1,XGSV,2024,1,-0.18628657
1,XGSV,2024,2,-0.22147955
1,XGSV,2024,3,-0.25760074
1,XGSV,2024,4,-0.29552962
1,MGSV,2022,1,0.10854192
1,MGSV,2022,2,0.19702303
1,MGSV,2022,3,0.42677536
1,MGSV,2022,4,0.61237684
1,MGSV,2023,1,0.68033136
1,MGSV,2023,2,0.71706466
1,MGSV,2023,3,0.71930543
1,MGSV,2023,4,0.70136563
1,MGSV,2024,1,0.7013381
1,MGSV,2024,2,0.70554599
1,MGSV,2024,3,0.71231325
1,MGSV,2024,4,0.68986228
1,NIV,2022,1,1.48810513
1,NIV,2022,2,1.4944838
1,NIV,2022,3,1.61746006
1,NIV,2022,4,1.59071085
1,NIV,2023,1,1.54716304
1,NIV,2023,2,1.5810358
1,NIV,2023,3,1.55529819
1,NIV,2023,4,1.55440041
