scenario,variable,year,quarter,value
1,GDP,2018,1,1.0
1,CP,2018,1,0.0
1,IFP,2018,1,-0.04
1,IHP,2018,1,0.1
1,IG,2018,1,20.17
1,CG,2018,1,0.0
1,XGS,2018,1,0.0
1,MGS,2018,1,0.12
1,GDP,2018,2,1.05
1,CP,2018,2,0.15
1,IFP,2018,2,-0.1
1,IHP,2018,2,0.14
1,IG,2018,2,19.86
1,CG,2018,2,0.03
1,XGS,2018,2,0.0
1,MGS,2018,2,0.23
1,GDP,2018,3,1.14
1,CP,2018,3,0.38
1,IFP,2018,3,-0.14
1,IHP,2018,3,0.25
1,IG,2018,3,19.99
1,CG,2018,3,0.06
1,XGS,2018,3,0.0
1,MGS,2018,3,0.5
1,GDP,2018,4,1.14
1,CP,2018,4,0.46
1,IFP,2018,4,-0.23
1,IHP,2018,4,0.33
1,IG,2018,4,20.28
1,CG,2018,4,0.09
1,XGS,2018,4,0.0
1,MGS,2018,4,0.72
1,GDP,2019,1,1.14
1,CP,2019,1,0.5
1,IFP,2019,1,-0.36
1,IHP,2019,1,0.37
1,IG,2019,1,19.95
1,CG,2019,1,0.12
1,XGS,2019,1,0.0
1,MGS,2019,1,0.81
1,GDP,2019,2,1.12
1,CP,2019,2,0.53
1,IFP,2019,2,-0.54
1,IHP,2019,2,0.44
1,IG,2019,2,20.04
1,CG,2019,2,0.15
1,XGS,2019,2,-0.01
1,MGS,2019,2,0.85
1,GDP,2019,3,1.09
1,CP,2019,3,0.54
1,IFP,2019,3,-0.74
1,IHP,2019,3,0.46
1,IG,2019,3,19.82
1,CG,2019,3,0.17
1,XGS,2019,3,-0.01
1,MGS,2019,3,0.88
1,GDP,2019,4,1.08
1,CP,2019,4,0.56
1,IFP,2019,4,-0.93
1,IHP,2019,4,0.49
1,IG,2019,4,19.14
1,CG,2019,4,0.2
1,XGS,2019,4,-0.02
1,MGS,2019,4,0.91
1,GDP,2020,1,1.06
1,CP,2020,1,0.56
1,IFP,2020,1,-1.07
1,IHP,2020,1,0.48
1,IG,2020,1,19.41
1,CG,2020,1,0.22
1,XGS,2020,1,-0.03
1,MGS,2020,1,0.93
1,GDP,2020,2,1.04
1,CP,2020,2,0.56
1,IFP,2020,2,-1.19
1,IHP,2020,2,0.44
1,IG,2020,2,17.23
1,CG,2020,2,0.25
1,XGS,2020,2,-0.04
1,MGS,2020,2,0.91
1,GDP,2020,3,1.04
1,CP,2020,3,0.51
1,IFP,2020,3,-1.28
1,IHP,2020,3,0.44
1,IG,2020,3,17.96
1,CG,2020,3,0.27
1,XGS,2020,3,-0.05
1,MGS,2020,3,0.91
1,GDP,2020,4,1.02
1,CP,2020,4,0.49
1,IFP,2020,4,-1.33
1,IHP,2020,4,0.41
1,IG,2020,4,17.91
1,CG,2020,4,0.29
1,XGS,2020,4,-0.06
1,MGS,2020,4,0.88
1,GDP,2018,0,1.08
1,CP,2018,0,0.25
1,IFP,2018,0,-0.13
1,IHP,2018,0,0.2
1,IG,2018,0,20.08
1,CG,2018,0,0.04
1,XGS,2018,0,0.0
1,MGS,2018,0,0.39
1,GDP,2019,0,1.11
1,CP,2019,0,0.53
1,IFP,2019,0,-0.64
1,IHP,2019,0,0.44
1,IG,2019,0,19.74
1,CG,2019,0,0.16
1,XGS,2019,0,-0.01
1,MGS,2019,0,0.86
1,GDP,2020,0,1.04
1,CP,2020,0,0.53
1,IFP,2020,0,-1.22
1,IHP,2020,0,0.44
1,IG,2020,0,18.13
1,CG,2020,0,0.26
1,XGS,2020,0,-0.04
1,MGS,2020,0,0.91
1,GDPD,2018,1,4.0
1,PGDP,2018,1,0.04
1,PCP,2018,1,0.0
1,PIFP,2018,1,0.16
1,PIHP,2018,1,-0.01
1,PXGS,2018,1,-0.01
1,PMGS,2018,1,0.0
1,CGPI,2018,1,0.0
1,GDPD,2018,2,0.22
1,PGDP,2018,2,0.07
1,PCP,2018,2,0.0
1,PIFP,2018,2,0.23
1,PIHP,2018,2,-0.01
1,PXGS,2018,2,-0.01
1,PMGS,2018,2,-0.01
1,CGPI,2018,2,0.04
1,GDPD,2018,3,0.34
1,PGDP,2018,3,0.1
1,PCP,2018,3,0.02
1,PIFP,2018,3,0.3
1,PIHP,2018,3,0.01
1,PXGS,2018,3,-0.03
1,PMGS,2018,3,-0.03
1,CGPI,2018,3,0.05
1,GDPD,2018,4,-0.01
1,PGDP,2018,4,0.15
1,PCP,2018,4,0.06
1,PIFP,2018,4,0.36
1,PIHP,2018,4,0.06
1,PXGS,2018,4,-0.04
1,PMGS,2018,4,-0.06
1,CGPI,2018,4,0.08
1,GDPD,2019,1,-0.01
1,PGDP,2019,1,0.21
1,PCP,2019,1,0.12
1,PIFP,2019,1,0.44
1,PIHP,2019,1,0.12
1,PXGS,2019,1,-0.06
1,PMGS,2019,1,-0.05
1,CGPI,2019,1,0.11
1,GDPD,2019,2,-0.05
1,PGDP,2019,2,0.28
1,PCP,2019,2,0.19
1,PIFP,2019,2,0.51
1,PIHP,2019,2,0.19
1,PXGS,2019,2,-0.09
1,PMGS,2019,2,-0.09
1,CGPI,2019,2,0.15
1,GDPD,2019,3,-0.13
1,PGDP,2019,3,0.35
1,PCP,2019,3,0.26
1,PIFP,2019,3,0.59
1,PIHP,2019,3,0.27
1,PXGS,2019,3,-0.11
1,PMGS,2019,3,-0.1
1,CGPI,2019,3,0.19
1,GDPD,2019,4,-0.05
1,PGDP,2019,4,0.42
1,PCP,2019,4,0.33
1,PIFP,2019,4,0.66
1,PIHP,2019,4,0.35
1,PXGS,2019,4,-0.13
1,PMGS,2019,4,-0.12
1,CGPI,2019,4,0.23
1,GDPD,2020,1,-0.06
1,PGDP,2020,1,0.49
1,PCP,2020,1,0.4
1,PIFP,2020,1,0.73
1,PIHP,2020,1,0.43
1,PXGS,2020,1,-0.16
1,PMGS,2020,1,-0.14
1,CGPI,2020,1,0.26
1,GDPD,2020,2,-0.06
1,PGDP,2020,2,0.56
1,PCP,2020,2,0.47
1,PIFP,2020,2,0.8
1,PIHP,2020,2,0.51
1,PXGS,2020,2,-0.18
1,PMGS,2020,2,-0.11
1,CGPI,2020,2,0.31
1,GDPD,2020,3,-0.02
1,PGDP,2020,3,0.62
1,PCP,2020,3,0.54
1,PIFP,2020,3,0.88
1,PIHP,2020,3,0.58
1,PXGS,2020,3,-0.21
1,PMGS,2020,3,-0.14
1,CGPI,2020,3,0.35
1,GDPD,2020,4,-0.08
1,PGDP,2020,4,0.69
1,PCP,2020,4,0.61
1,PIFP,2020,4,0.97
1,PIHP,2020,4,0.66
1,PXGS,2020,4,-0.23
1,PMGS,2020,4,-0.17
1,CGPI,2020,4,0.39
1,GDPD,2018,0,1.14
1,PGDP,2018,0,0.09
1,PCP,2018,0,0.02
1,PIFP,2018,0,0.26
1,PIHP,2018,0,0.01
1,PXGS,2018,0,-0.02
1,PMGS,2018,0,-0.03
1,CGPI,2018,0,0.04
1,GDPD,2019,0,-0.06
1,PGDP,2019,0,0.31
1,PCP,2019,0,0.22
1,PIFP,2019,0,0.55
1,PIHP,2019,0,0.23
1,PXGS,2019,0,-0.1
1,PMGS,2019,0,-0.09
1,CGPI,2019,0,0.17
1,GDPD,2020,0,-0.06
1,PGDP,2020,0,0.59
1,PCP,2020,0,0.51
1,PIFP,2020,0,0.85
1,PIHP,2020,0,0.54
1,PXGS,2020,0,-0.2
1,PMGS,2020,0,-0.14
1,CGPI,2020,0,0.33
1,GDPV,2018,1,1.04
1,CPV,2018,1,0.0
1,IFPV,2018,1,0.11
1,IHPV,2018,1,0.09
1,IGV,2018,1,20.34
1,CGV,2018,1,0.0
1,XGSV,2018,1,-0.01
1,MGSV,2018,1,0.11
1,GDPV,2018,2,1.12
1,CPV,2018,2,0.15
1,IFPV,2018,2,0.13
1,IHPV,2018,2,0.13
1,IGV,2018,2,20.1
1,CGV,2018,2,0.03
1,XGSV,2018,2,-0.01
1,MGSV,2018,2,0.22
1,GDPV,2018,3,1.24
1,CPV,2018,3,0.4
1,IFPV,2018,3,0.16
1,IHPV,2018,3,0.26
1,IGV,2018,3,20.32
1,CGV,2018,3,0.06
1,XGSV,2018,3,-0.03
1,MGSV,2018,3,0.47
1,GDPV,2018,4,1.29
1,CPV,2018,4,0.53
1,IFPV,2018,4,0.13
1,IHPV,2018,4,0.38
1,IGV,2018,4,20.68
1,CGV,2018,4,0.11
1,XGSV,2018,4,-0.05
1,MGSV,2018,4,0.66
1,GDPV,2019,1,1.34
1,CPV,2019,1,0.63
1,IFPV,2019,1,0.08
1,IHPV,2019,1,0.49
1,IGV,2019,1,20.46
1,CGV,2019,1,0.17
1,XGSV,2019,1,-0.07
1,MGSV,2019,1,0.75
1,GDPV,2019,2,1.4
1,CPV,2019,2,0.72
1,IFPV,2019,2,-0.04
1,IHPV,2019,2,0.64
1,IGV,2019,2,20.65
1,CGV,2019,2,0.24
1,XGSV,2019,2,-0.09
1,MGSV,2019,2,0.76
1,GDPV,2019,3,1.44
1,CPV,2019,3,0.8
1,IFPV,2019,3,-0.16
1,IHPV,2019,3,0.73
1,IGV,2019,3,20.53
1,CGV,2019,3,0.32
1,XGSV,2019,3,-0.12
1,MGSV,2019,3,0.78
1,GDPV,2019,4,1.5
1,CPV,2019,4,0.89
1,IFPV,2019,4,-0.28
1,IHPV,2019,4,0.84
1,IGV,2019,4,19.95
